"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38379-29685","WR","Robert","Robert Woods","Woods","12.600000381469727","1","7300","NO@LAR","LAR","NO","","","","",""
"38379-28643","WR","Allen","Allen Robinson II","Robinson II","13.699999809265137","1","7200","CHI@DEN","CHI","DEN","","","","",""
"38379-7859","WR","Julian","Julian Edelman","Edelman","13.380000114440918","1","7100","NE@MIA","NE","MIA","","","","",""
"38379-14187","WR","A.J.","A.J. Green","Green","14.044444613986546","9","7100","SF@CIN","CIN","SF","O","Ankle","","",""
"38379-39793","TE","George","George Kittle","Kittle","9.399999618530273","1","7100","SF@CIN","SF","CIN","","","","",""
"38379-14225","QB","Andy","Andy Dalton","Dalton","20.719999313354492","1","7100","SF@CIN","CIN","SF","","","","",""
"38379-54604","QB","Jimmy","Jimmy Garoppolo","Garoppolo","11.4399995803833","1","7000","SF@CIN","SF","CIN","","","","",""
"38379-6654","QB","Matthew","Matthew Stafford","Stafford","27.600000381469727","1","7000","LAC@DET","DET","LAC","","","","",""
"38379-30447","RB","Todd","Todd Gurley II","Gurley II","10.600000381469727","1","7000","NO@LAR","LAR","NO","","","","",""
"38379-29501","WR","Brandin","Brandin Cooks","Cooks","4.900000095367432","1","7000","NO@LAR","LAR","NO","","","","",""
"38379-29780","TE","Zach","Zach Ertz","Ertz","7.900000095367432","1","6900","PHI@ATL","PHI","ATL","","","","",""
"38379-22994","QB","Case","Case Keenum","Keenum","27.200000762939453","1","6900","DAL@WAS","WAS","DAL","","","","",""
"38379-25079","WR","Stefon","Stefon Diggs","Diggs","4.699999809265137","1","6900","MIN@GB","MIN","GB","","","","",""
"38379-52922","RB","Leonard","Leonard Fournette","Fournette","9.399999618530273","1","6900","JAC@HOU","JAC","HOU","","","","",""
"38379-79970","WR","Cooper","Cooper Kupp","Kupp","8.100000381469727","1","6800","NO@LAR","LAR","NO","","","","",""
"38379-53640","RB","Sony","Sony Michel","Michel","1.399999976158142","1","6800","NE@MIA","NE","MIA","","","","",""
"38379-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","9.220000267028809","1","6800","CHI@DEN","CHI","DEN","","","","",""
"38379-63589","QB","Sam","Sam Darnold","Darnold","13","1","6700","CLE@NYJ","NYJ","CLE","Q","Illness","","",""
"38379-27050","WR","Tyler","Tyler Lockett","Lockett","10.899999618530273","1","6700","SEA@PIT","SEA","PIT","Q","Back","","",""
"38379-21980","WR","Alshon","Alshon Jeffery","Jeffery","19.600000381469727","1","6700","PHI@ATL","PHI","ATL","","","","",""
"38379-63806","RB","Kerryon","Kerryon Johnson","Johnson","7.199999809265137","1","6600","LAC@DET","DET","LAC","","","","",""
"38379-41426","RB","Phillip","Phillip Lindsay","Lindsay","8.600000381469727","1","6600","CHI@DEN","DEN","CHI","","","","",""
"38379-6739","WR","DeSean","DeSean Jackson","Jackson","31.399999618530273","1","6600","PHI@ATL","PHI","ATL","","","","",""
"38379-45859","QB","Derek","Derek Carr","Carr","14.5600004196167","1","6600","KC@OAK","OAK","KC","","","","",""
"38379-27441","RB","Damien","Damien Williams","Williams","15.5","1","6600","KC@OAK","KC","OAK","","","","",""
"38379-54244","WR","Kenny","Kenny Golladay","Golladay","12.199999809265137","1","6600","LAC@DET","DET","LAC","","","","",""
"38379-72731","RB","Josh","Josh Jacobs","Jacobs","23.799999237060547","1","6500","KC@OAK","OAK","KC","","","","",""
"38379-64555","WR","Calvin","Calvin Ridley","Ridley","14.399999618530273","1","6500","PHI@ATL","ATL","PHI","","","","",""
"38379-39286","TE","O.J.","O.J. Howard","Howard","3.200000047683716","1","6500","TB@CAR","TB","CAR","","","","",""
"38379-63484","QB","Kyler","Kyler Murray","Murray","22.6200008392334","1","6500","ARI@BAL","ARI","BAL","","","","",""
"38379-61798","QB","Gardner","Gardner Minshew II","Minshew II","18.600000381469727","1","6400","JAC@HOU","JAC","HOU","","","","",""
"38379-40442","RB","Aaron","Aaron Jones","Jones","4.400000095367432","1","6400","MIN@GB","GB","MIN","","","","",""
"38379-41475","WR","John","John Ross III","Ross III","31.299999237060547","1","6400","SF@CIN","CIN","SF","","","","",""
"38379-6714","QB","Joe","Joe Flacco","Flacco","14.819999694824219","1","6400","CHI@DEN","DEN","CHI","","","","",""
"38379-6826","QB","Eli","Eli Manning","Manning","14.84000015258789","1","6400","BUF@NYG","NYG","BUF","","","","",""
"38379-41872","TE","Evan","Evan Engram","Engram","23.100000381469727","1","6400","BUF@NYG","NYG","BUF","","","","",""
"38379-28930","RB","James","James White","White","10.699999809265137","1","6300","NE@MIA","NE","MIA","","","","",""
"38379-54606","WR","John","John Brown","Brown","21.799999237060547","1","6300","BUF@NYG","BUF","NYG","","","","",""
"38379-23194","WR","Josh","Josh Gordon","Gordon","14.800000190734863","1","6300","NE@MIA","NE","MIA","","","","",""
"38379-40669","WR","Tyler","Tyler Boyd","Boyd","10.300000190734863","1","6300","SF@CIN","CIN","SF","","","","",""
"38379-24755","WR","Jamison","Jamison Crowder","Crowder","17.299999237060547","1","6200","CLE@NYJ","NYJ","CLE","","","","",""
"38379-69956","WR","Michael","Michael Gallup","Gallup","19.299999237060547","1","6200","DAL@WAS","DAL","WAS","","","","",""
