"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,6.45,6.45,6.45,,16,0.1125,0,47,23.1,4.1,5.70975336999707
"A.J. Derby","TE","MIA",2552580,1991-09-20,4.375,4.375,4.375,,36,0.33125,0,2,61.3,8.8,6.30550749491504
"A.J. Green","WR","CIN",2495450,1988-07-31,15.4875,15.4875,15.4875,,3,1.79375,0,6,3.8,1.4,2.02546667374134
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,33,0,0,3,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,135,0,0,1,,,
"Aaron Dobson","WR","FA",2539256,1991-07-23,0,0,0,,135,0,0,4,,,
"Aaron Jones","RB","GB",2558116,1994-12-02,0.2625,0.2625,0.2625,,88,0.23625,0,0,48.4,6,4.80365848157068
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,33,0,0,3,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,90,0,0,2,87.8,3,3.24152523275348
"Aaron Rodgers","QB","GB",2506363,1983-12-02,22.76,22.76,22.76,,2,3.745,1,12,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,2.6175,2.6175,2.6175,,106,0.1925,0,2,86.7,7.7,5.17047787758669
"Adam Shaheen","TE","CHI",2558144,1994-01-01,0.8625,0.8625,0.8625,,57,0.1625,0,0,38.2,8.1,5.97341473898438
"Adam Thielen","WR","MIN",2541785,1990-08-22,8.7125,8.7125,8.7125,,50,0.153749999999999,0,3,8.6,2,2.32499155029804
"Adam Vinatieri","K","IND",2503471,1972-12-28,8.6,8.6,8.6,,8,0,0,21,18,3.6,4.21216688702761
"Adrian Peterson","RB","ARI",2507164,1985-03-21,7.2575,7.2575,7.2575,,46,0.362500000000002,0,10,47.3,11.1,7.45928500455992
"Akeem Hunt","RB","KC",2553660,1993-02-22,1.195,1.195,1.195,,84,0.36875,0,2,78.2,6.4,5.01194291474631
