"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,4.45,4.45,4.45,,26,,0,46,23.4,4,5.64018723765691
"A.J. Derby","TE","DEN",2552580,1991-09-20,5.0625,5.0625,5.0625,,21,0.09375,0,1,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,16.6875,16.6875,16.6875,,1,1.51875,1,5,3.7,1.4,2.28990283579421
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,22,0,0,2,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,94,0,0,0,,,
"Aaron Dobson","WR","ARI",2539256,1991-07-23,0,0,0,,94,0,0,3,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,22,0,0,2,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,57,0,0,1,87.1,3.5,3.58071399462512
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,22,0,0,11,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,6.07,6.07,6.07,,56,0.0737500000000004,0,1,88.1,8.3,5.70074671112958
"Adam Thielen","WR","MIN",2541785,1990-08-22,10.0375,10.0375,10.0375,,21,0.703750000000001,0,2,8.7,1.9,2.5370654354562
"Adam Vinatieri","K","IND",2503471,1972-12-28,6.6,6.6,6.6,,17,0.250000000000001,0,20,18.1,3.5,4.94563588462671
"Adrian Peterson","RB","MIN",2507164,1985-03-21,0,0,0,,57,0,0,9,,,
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,45,0,0,0,72,15,9.24576814617129
"Albert Wilson","WR","KC",2550272,1992-07-12,4.8225,4.8225,4.8225,,73,0.71625,0,2,67.8,6.6,4.86039387227884
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,5.0125,5.0125,5.0125,,70,0.137499999999999,0,5,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.6,0.6,0.6,,87,0.0750000000000001,0,0,105.6,9.6,6.34336947025073
"Alex Smith","QB","KC",2506340,1984-05-07,16.67,16.67,16.67,,6,0.18,0,11,4.2,2.8,5.1045396906816
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,,22,0,0,4,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0.1175,0.1175,0.1175,,55,0.09125,0,2,68.9,5.7,4.78861697792289
"Alfred Morris","RB","DAL",2533457,1988-12-12,2.39,2.39,2.39,,47,0.3225,0,4,17.6,3.8,3.74542803780209
"Allen Hurns","WR","JAC",2550353,1991-11-21,0,0,0,,94,0,0,2,95.1,16.3,9.6553483057213
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,94,0,0,2,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,10.7,10.7,10.7,,19,0.412500000000001,0,4,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,11.75,11.75,11.75,,11,0.52875,0,1,43.6,16.8,9.90251090538329
"Ameer Abdullah","RB","DET",2552374,1993-06-13,9.1175,9.1175,9.1175,,15,0.734999999999999,0,1,50.2,11.1,7.75346975510832
"Andre Ellington","RB","ARI",2539217,1989-02-03,0,0,0,,57,0,0,3,,,
"Andre Holmes","WR","OAK",2495453,1988-06-16,5.925,5.925,5.925,,60,0.0625,0,5,,,
