"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,5.55,5.55,5.55,,25,0.0999999999999996,0,45,23.6,4,5.80305088919906
"A.J. Derby","TE","FA",2552580,1991-09-20,5.1125,5.1125,5.1125,,20,0.5625,0,0,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,15.4625,15.4625,15.4625,,2,1.1775,1,4,3.7,1.3,2.4468647557127
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,24,0,0,1,,,
"Aaron Dobson","WR","NE",2539256,1991-07-23,0,0,0,,88,0,0,2,,,
"Aaron Murray","QB","KC",2543587,1990-11-10,0,0,0,,24,0,0,1,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,52,0,0,0,87.3,5.3,4.62712200482981
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,24,0,0,10,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,6.7425,6.7425,6.7425,,53,0.0175000000000001,0,0,89,7.6,5.88377758456099
"Adam Thielen","WR","MIN",2541785,1990-08-22,12.525,12.525,12.525,,7,0.31875,0,1,8.6,1.8,2.71963561514511
"Adam Vinatieri","K","IND",2503471,1972-12-28,7.7,7.7,7.7,,15,0,0,19,18.1,3.6,4.86618823402237
"Adrian Peterson","RB","MIN",2507164,1985-03-21,10.275,10.275,10.275,,11,0.395000000000001,0,8,,,
"Albert Wilson","WR","KC",2550272,1992-07-12,5.0425,5.0425,5.0425,,65,0.788749999999999,0,1,67.9,6.5,5.2836816938097
"Aldrick Robinson","WR","FA",2495331,1988-09-24,2.325,2.325,2.325,,77,0.16875,0,4,,,
"Alex Smith","QB","KC",2506340,1984-05-07,15.87,15.87,15.87,,6,0.100000000000001,0,10,4,2.8,4.79432112457136
"Alex Tanney","QB","TEN",2534870,1987-11-11,0,0,0,,24,0,0,3,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0,0,0,,52,0,0,1,,,
"Alfred Morris","RB","WAS",2533457,1988-12-12,2.935,2.935,2.935,,42,0.38125,0,3,,,
"Allen Hurns","WR","JAC",2550353,1991-11-21,7.425,7.425,7.425,,42,0.0699999999999994,0,1,,,
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,88,0,0,1,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,10.775,10.775,10.775,,12,0.475,0,3,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,9.1875,9.1875,9.1875,,22,0.10375,0,0,46.1,22.4,13.9577950237601
"Ameer Abdullah","RB","DET",2552374,1993-06-13,0,0,0,,52,0,0,0,47.9,9.6,7.02297027264749
"Andre Ellington","RB","ARI",2539217,1989-02-03,0,0,0,,52,0,0,2,,,
"Andre Holmes","WR","OAK",2495453,1988-06-16,5.7375,5.7375,5.7375,,60,0.23375,0,4,,,
"Andre Roberts","WR","WAS",497320,1988-01-09,0.7125,0.7125,0.7125,,83,0.1125,0,5,,,
"Andre Williams","RB","NYG",2543565,1992-08-28,0,0,0,,52,0,0,1,,,
"Andrew Hawkins","WR","CLE",2508097,1986-03-10,0,0,0,,88,0,0,4,,,
"Andrew Luck","QB","IND",2533031,1989-09-12,0,0,0,,24,0,0,3,,,
"Andrew Turzilli","WR","TEN",2553829,1991-10-13,0,0,0,,88,0,0,0,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,14.45,14.45,14.45,,10,0.300000000000001,0,4,20,3.9,6.85110987885775
"Anquan Boldin","WR","SF",2505587,1980-10-03,0,0,0,,88,0,0,12,,,
"Anthony Fasano","TE","TEN",2495835,1984-04-20,0.575,0.575,0.575,,42,0.225,0,9,,,
"Anthony Sherman","RB","KC",2495340,1988-12-11,0,0,0,,52,0,0,4,94,9.2,6.80010066633887
"Antone Smith","RB","FA",89798,1985-09-17,0,0,0,,52,0,0,6,,,
"Antonio Andrews","RB","TEN",2550474,1992-08-17,0,0,0,,52,0,0,1,,,
"Antonio Brown","WR","PIT",2508061,1988-07-10,16.8,16.8,16.8,,1,1.575,1,5,1.3,1,2.28320224005326
"Antonio Gates","TE","SD",2505299,1980-06-18,4.5875,4.5875,4.5875,,21,0.29375,0,12,,,
