"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,4.45,4.45,4.45,,25,,0,45,23.6,4,5.59622520537029
"A.J. Derby","TE","FA",2552580,1991-09-20,5.0625,5.0625,5.0625,,20,0.09375,0,0,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,16.6875,16.6875,16.6875,,1,1.51875,1,4,3.7,1.3,2.4468647557127
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,20,0,0,1,,,
"Aaron Dobson","WR","NE",2539256,1991-07-23,0,0,0,,79,0,0,2,,,
"Aaron Murray","QB","KC",2543587,1990-11-10,0,0,0,,20,0,0,1,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,47,0,0,0,87.3,5.3,4.62712200482981
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,20,0,0,10,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,6.07,6.07,6.07,,49,0.0737500000000004,0,0,89,7.6,5.88377758456099
"Adam Thielen","WR","MIN",2541785,1990-08-22,10.0375,10.0375,10.0375,,19,0.703750000000001,0,1,8.6,1.8,2.71963561514511
"Adam Vinatieri","K","IND",2503471,1972-12-28,6.6,6.6,6.6,,16,0.250000000000001,0,19,18.1,3.6,4.86618823402237
"Adrian Peterson","RB","MIN",2507164,1985-03-21,0,0,0,,47,0,0,8,,,
"Albert Wilson","WR","KC",2550272,1992-07-12,4.8225,4.8225,4.8225,,64,0.71625,0,1,67.9,6.5,5.2836816938097
"Aldrick Robinson","WR","FA",2495331,1988-09-24,5.0125,5.0125,5.0125,,63,0.513749999999999,0,4,,,
"Alex Smith","QB","KC",2506340,1984-05-07,16.67,16.67,16.67,,4,0.18,1,10,4,2.8,4.79432112457136
"Alex Tanney","QB","TEN",2534870,1987-11-11,0,0,0,,20,0,0,3,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0.1175,0.1175,0.1175,,45,0.09125,0,1,,,
"Alfred Morris","RB","WAS",2533457,1988-12-12,2.39,2.39,2.39,,39,0.55375,0,3,,,
"Allen Hurns","WR","JAC",2550353,1991-11-21,0,0,0,,79,0,0,1,,,
