sdPts,Actual_Points
0.0,6.955555555555556
0.1,10.072727272727274
0.2,6.0
0.3,10.473333333333333
0.4,11.28888888888889
0.5,14.2125
0.6,17.247826086956522
0.7,17.727777777777774
0.8,17.07323943661972
0.9,17.479268292682928
1.0,18.223232323232335
1.1,18.23271028037383
1.2,17.308333333333337
1.3,15.615929203539817
1.4,17.410869565217386
1.5,17.38307692307693
1.6,16.07414965986394
1.7,18.07226890756303
1.8,18.66521739130435
1.9,16.79236641221374
2.0,18.738679245283024
2.1,16.74722222222222
2.2,16.819178082191783
2.3,17.25135135135136
2.4,17.43
2.5,17.21454545454546
2.6,16.44333333333333
2.7,17.17
2.8,19.153846153846157
2.9,15.488888888888889
3.0,14.754545454545456
3.1,20.908
3.2,14.949999999999998
3.3,14.63
3.4,16.470000000000002
3.5,15.837499999999999
3.6,15.1875
3.7,20.383333333333333
3.8,21.85
3.9,20.166666666666664
4.0,22.0
4.1,23.2
4.2,18.933333333333334
4.3,13.475
4.4,36.9
4.5,11.2
4.6,12.375
4.7,20.675
4.8,16.499999999999996
4.9,13.5
5.0,8.933333333333334
5.1,12.56
5.2,12.5
5.3,18.725
5.4,14.75
5.5,14.833333333333334
5.6,18.4
5.7,11.5
5.9,15.633333333333333
6.1,11.133333333333333
6.2,11.833333333333334
6.3,10.1
6.4,9.0
6.9,14.0
7.3,17.6
7.5,29.8
7.7,14.8
7.8,15.45
9.3,18.3
