"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,5.75,5.75,5.75,,16,0.125,0,45,23.6,4,5.92040727707575
"A.J. Derby","TE","FA",2552580,1991-09-20,5,5,5,,13,0.25625,0,0,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,12.2875,12.2875,12.2875,,4,0.487500000000001,0,4,3.7,1.3,2.4468647557127
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,22,0,0,1,,,
"Aaron Dobson","WR","NE",2539256,1991-07-23,0,0,0,,76,0,0,2,,,
"Aaron Murray","QB","KC",2543587,1990-11-10,0,0,0,,22,0,0,1,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,30,0,0,0,87.3,5.3,4.36974580003441
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,22,0,0,10,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,6.045,6.045,6.045,,45,0.0762500000000008,0,0,89,7.6,5.88377758456099
"Adam Thielen","WR","MIN",2541785,1990-08-22,0,0,0,,76,0,0,1,8.6,1.8,2.71963561514511
"Adam Vinatieri","K","IND",2503471,1972-12-28,7.2,7.2,7.2,,16,0.55,0,19,18.1,3.6,4.86618823402237
"Albert Wilson","WR","KC",2550272,1992-07-12,0,0,0,,76,0,0,1,67.9,6.5,5.2836816938097
"Aldrick Robinson","WR","FA",2495331,1988-09-24,4.6625,4.6625,4.6625,,54,0.12125,0,4,,,
"Alex Smith","QB","KC",2506340,1984-05-07,17.9,17.9,17.9,,3,1.13,0,10,4,2.8,4.79432112457136
"Alex Tanney","QB","TEN",2534870,1987-11-11,0,0,0,,22,0,0,3,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,2.5925,2.5925,2.5925,,18,0.28375,0,1,,,
"Alfred Morris","RB","WAS",2533457,1988-12-12,2.575,2.575,2.575,,19,0.56875,0,3,,,
"Allen Hurns","WR","JAC",2550353,1991-11-21,8.775,8.775,8.775,,24,0.154999999999999,0,1,,,
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,76,0,0,1,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,8.8375,8.8375,8.8375,,23,0.131249999999998,0,3,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,12.1875,12.1875,12.1875,,5,1.26875,0,0,46.1,22.4,13.9577950237601
"Andre Ellington","RB","ARI",2539217,1989-02-03,4.825,4.825,4.825,,13,0.69875,0,2,,,
"Andre Holmes","WR","OAK",2495453,1988-06-16,4.5,4.5,4.5,,57,0.0962499999999995,0,4,,,
"Andre Roberts","WR","WAS",497320,1988-01-09,0.8,0.8,0.8,,71,0.2,0,5,,,
"Andre Williams","RB","NYG",2543565,1992-08-28,0,0,0,,30,0,0,1,,,
"Andrew Hawkins","WR","CLE",2508097,1986-03-10,0,0,0,,76,0,0,4,,,
"Andrew Luck","QB","IND",2533031,1989-09-12,0,0,0,,22,0,0,3,,,
"Andrew Turzilli","WR","TEN",2553829,1991-10-13,0,0,0,,76,0,0,0,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,10.76,10.76,10.76,,15,0.150000000000002,0,4,20,3.9,6.85110987885775
"Anquan Boldin","WR","SF",2505587,1980-10-03,0,0,0,,76,0,0,12,,,
"Anthony Fasano","TE","TEN",2495835,1984-04-20,2.525,2.525,2.525,,26,0.0250000000000004,0,9,,,
"Anthony Sherman","RB","KC",2495340,1988-12-11,0,0,0,,30,0,0,4,94,9.2,6.44275057823448
"Antone Smith","RB","FA",89798,1985-09-17,0,0,0,,30,0,0,6,,,
"Antonio Andrews","RB","TEN",2550474,1992-08-17,0,0,0,,30,0,0,1,,,
"Antonio Brown","WR","PIT",2508061,1988-07-10,0,0,0,,76,0,0,5,1.3,1,2.28320224005326
"Antonio Gates","TE","SD",2505299,1980-06-18,0,0,0,,38,0,0,12,,,
"Antwan Goodley","WR","SEA",2553526,1991-09-06,0,0,0,,76,0,0,0,,,
"Arrelious Benn","WR","JAC",497270,1988-09-08,0,0,0,,76,0,0,5,,,
"Asante Cleveland","TE","SD",2550454,1992-03-21,0,0,0,,38,0,0,1,,,
"Austin Davis","QB","CLE",2533349,1989-06-02,0,0,0,,22,0,0,3,,,
"Austin Seferian-Jenkins","TE","TB",2543683,1992-09-29,7.35,7.35,7.35,,8,1.425,0,1,,,
"B.J. Daniels","WR","HOU",2541429,1989-10-24,0,0,0,,76,0,0,2,,,
"Ben Koyack","TE","JAC",2552396,1993-04-09,0,0,0,,38,0,0,0,87.5,4.5,4.59285895898939
