"","Player","Points","FD_Salary"
"11","Siemian, Trevor","28.98","$6,700"
"12","Stafford, Matthew","27.5","$8,200"
"13","Brees, Drew","26.94","$9,000"
"14","Winston, Jameis","26.5","$7,600"
"15","Rodgers, Aaron","26.4","$8,900"
"16","Prescott, Dak","23.52","$7,100"
"17","Wentz, Carson","21.04","$7,200"
"18","Tannehill, Ryan","20.96","$7,400"
"19","Ryan, Matt","19.9","$8,500"
"20","Cousins, Kirk","19.34","$7,200"
"21","Hoyer, Brian","18.38","$6,000"
"22","Taylor, Tyrod","17.36","$7,300"
"23","Newton, Cam","16.08","$9,200"
"24","Manning, Eli","16","$7,700"
"25","Brissett, Jacoby","14.92","$6,200"
"26","Keenum, Case","14.7","$6,700"
"27","Bortles, Blake","14.46","$7,900"
"28","Luck, Andrew","14.24","$8,700"
"29","Wilson, Russell","14.02","$8,700"
"30","Flacco, Joe","13.76","$7,600"
"31","Smith, Alex","13.18","$6,800"
"32","Carr, Derek","12.86","$8,100"
"33","Rivers, Philip","11.4","$8,000"
"34","Dalton, Andy","11.24","$7,500"
"35","Bradford, Sam","10.64","$6,600"
"36","Kessler, Cody","9.66","$6,000"
"37","Osweiler, Brock","8.14","$7,200"
"38","Roethlisberger, Ben","7.98","$8,400"
"39","Palmer, Carson","7.48","$8,200"
"40","Mariota, Marcus","6.76","$7,700"
"41","Gabbert, Blaine","5.96","$6,000"
"42","Boykin, Trevone","5.4","$5,000"
"43","Fitzpatrick, Ryan","3.72","$7,300"
"44","Anderson, Derek","0.12","$5,000"
"45","Webb, Joe","0","$5,000"
"48","Freeman, Devonta","29.2","$7,400"
"49","Coleman, Tevin","28.4","$6,400"
"50","McCoy, LeSean","25.1","$6,700"
"51","Hyde, Carlos","25","$6,100"
"52","Johnson, David","24.6","$8,400"
"53","Michael, Christine","24.1","$6,900"
"54","Murray, DeMarco","24","$7,700"
"55","Blount, LeGarrette","22.5","$6,500"
"56","Hill, Jeremy","21.7","$6,400"
"57","Sproles, Darren","21.7","$5,200"
"58","Sims, Charles","21.4","$6,300"
"59","Ingram, Mark","20.7","$6,900"
"60","Gurley, Todd","20.5","$8,300"
"61","Elliott, Ezekiel","17","$8,100"
"62","Gordon, Melvin","15.8","$7,100"
"63","Gore, Frank","14.8","$5,700"
"64","Vereen, Shane","14.5","$5,200"
"65","Smallwood, Wendell","13.9","$4,500"
