"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,5.85,5.85,5.85,,23,0.225,0,47,23.3,4.1,5.85613240134708
"A.J. Derby","TE","MIA",2552580,1991-09-20,0,0,0,,65,0,0,2,62.1,8.4,6.19005776789174
"A.J. Green","WR","CIN",2495450,1988-07-31,12.275,12.275,12.275,,9,0.0925000000000011,0,6,3.8,1.4,2.05115753548549
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,33,0,0,3,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,137,0,0,1,,,
"Aaron Dobson","WR","FA",2539256,1991-07-23,0,0,0,,137,0,0,4,,,
"Aaron Jones","RB","GB",2558116,1994-12-02,5.1,5.1,5.1,,60,0.577499999999999,0,0,48.4,5.6,4.6324674063905
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,33,0,0,3,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,93,0,0,2,87.6,3.3,3.43573965628493
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,33,0,0,12,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,5.8225,5.8225,5.8225,,69,0.0637499999999998,0,2,87.7,8.1,5.46759671122992
"Adam Shaheen","TE","CHI",2558144,1994-01-01,4.575,4.575,4.575,,29,0.0250000000000004,0,0,38.3,7.8,5.89911580990937
"Adam Thielen","WR","MIN",2541785,1990-08-22,13.925,13.925,13.925,,3,0.433749999999998,1,3,8.7,1.9,2.3061156829291
"Adam Vinatieri","K","IND",2503471,1972-12-28,7.2,7.2,7.2,,29,0.500000000000001,0,21,17.9,3.6,4.26157309807194
"Adrian Peterson","RB","ARI",2507164,1985-03-21,0,0,0,,93,0,0,10,47.6,10.6,7.2340494718374
"Akeem Hunt","RB","KC",2553660,1993-02-22,1.7775,1.7775,1.7775,,76,0.37125,0,2,78.8,6.1,4.89262561293519
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,65,0,0,1,72,15,9.39041930569779
"Albert Wilson","WR","KC",2550272,1992-07-12,5.0925,5.0925,5.0925,,79,0.21375,0,3,67.6,6.3,4.54974738043291
"Aldrick Robinson","WR","SF",2495331,1988-09-24,4.05,4.05,4.05,,89,0.0687500000000005,0,6,86.8,10.5,6.69139581895927
"Aldrick Rosas","K","NYG",2556771,1994-12-30,6.4,6.4,6.4,,31,3.55,0,1,28.6,3.1,3.52314619614387
"Alex Collins","RB","BAL",2555430,1994-08-26,10.2625,10.2625,10.2625,,19,0.115,0,1,20,4.9,4.26824591722794
"Alex Erickson","WR","CIN",2556519,1992-11-06,2.145,2.145,2.145,,116,0.2075,0,1,106.1,9.2,6.02850463560587
"Alex Smith","QB","KC",2506340,1984-05-07,15.74,15.74,15.74,,14,0.404999999999999,0,12,4.2,2.9,5.41671772263981
"Alexander Armah","RB","CAR",2558833,1994-05-17,0,0,0,,93,0,0,0,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,2.335,2.335,2.335,,73,0.4825,0,3,68.7,5.5,4.58043576508156
"Alfred Morris","RB","DAL",2533457,1988-12-12,9.235,9.235,9.235,,25,0.526250000000001,0,5,17.6,3.9,3.74792950413856
"Allen Hurns","WR","JAC",2550353,1991-11-21,0,0,0,,137,0,0,3,95.5,16.9,9.95486010623754
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,137,0,0,3,,,
"Alshon Jeffery","WR","PHI",2533039,1990-02-14,11.3125,11.3125,11.3125,,14,0.0612500000000011,0,5,15,3,2.86702360730505
