"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,4.45,4.45,4.45,,26,,0,47,23.1,4.1,5.65725017205451
"A.J. Derby","TE","MIA",2552580,1991-09-20,5.0625,5.0625,5.0625,,25,0.09375,0,2,61.3,8.8,6.33177527419066
"A.J. Green","WR","CIN",2495450,1988-07-31,16.6875,16.6875,16.6875,,1,1.51875,1,6,3.8,1.4,2.05115753548549
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,2,0,1,3,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,109,0,0,1,,,
"Aaron Dobson","WR","FA",2539256,1991-07-23,0,0,0,,109,0,0,4,,,
"Aaron Jones","RB","GB",2558116,1994-12-02,0,0,0,,74,0,0,0,48.4,5.8,4.72252873650615
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,2,0,1,3,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,74,0,0,2,87.6,3.3,3.41370202191252
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,2,0,1,12,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,6.07,6.07,6.07,,59,0.0737500000000004,0,2,87.7,8.1,5.46759671122992
"Adam Shaheen","TE","CHI",2558144,1994-01-01,0.4,0.4,0.4,,47,0.06875,0,0,38.5,7.9,5.9064498659733
"Adam Thielen","WR","MIN",2541785,1990-08-22,10.0375,10.0375,10.0375,,21,0.703750000000001,0,3,8.7,1.9,2.3061156829291
"Adam Vinatieri","K","IND",2503471,1972-12-28,6.6,6.6,6.6,,22,0.250000000000001,0,21,17.9,3.6,4.26157309807194
"Adrian Peterson","RB","ARI",2507164,1985-03-21,0,0,0,,74,0,0,10,47.6,10.9,7.39253523427716
"Akeem Hunt","RB","KC",2553660,1993-02-22,0.0525,0.0525,0.0525,,72,0.0525,0,2,78.7,6.3,4.98429407942488
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,53,0,0,1,72,15,9.26179475302143
"Albert Wilson","WR","KC",2550272,1992-07-12,4.8225,4.8225,4.8225,,78,0.63125,0,3,67.6,6.3,4.54974738043291
"Aldrick Robinson","WR","SF",2495331,1988-09-24,5.0125,5.0125,5.0125,,75,0.137499999999999,0,6,86.8,10.5,6.69139581895927
"Aldrick Rosas","K","NYG",2556771,1994-12-30,0,0,0,,27,0,0,1,28.6,3.1,3.52314619614387
"Alex Collins","RB","BAL",2555430,1994-08-26,6.595,6.595,6.595,,38,1.07,0,1,20.1,5.1,4.35605725641993
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.6,0.6,0.6,,100,0.0750000000000001,0,1,106.1,9.2,6.02850463560587
"Alexander Armah","RB","CAR",2558833,1994-05-17,0,0,0,,74,0,0,0,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0.1175,0.1175,0.1175,,70,0.045,0,3,68.4,5.4,4.51311646217117
"Alfred Morris","RB","DAL",2533457,1988-12-12,2.39,2.39,2.39,,59,0.23375,0,5,17.6,4,3.78017350199873
"Allen Hurns","WR","JAC",2550353,1991-11-21,0,0,0,,109,0,0,3,95.5,16.9,9.95486010623754
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,109,0,0,3,,,
"Alshon Jeffery","WR","PHI",2533039,1990-02-14,10.7,10.7,10.7,,19,0.412500000000001,0,5,15,3,2.86702360730505
"Alvin Kamara","RB","NO",2558019,1996-06-25,9.1375,9.1375,9.1375,,18,0.386250000000002,0,0,2.6,2.1,2.78546519890757
"Amara Darboh","WR","SEA",2557905,1994-02-01,1.7125,1.7125,1.7125,,95,0.875,0,0,127.1,7.2,5.00867204583142
"Amari Cooper","WR","OAK",2552487,1994-06-18,11.75,11.75,11.75,,11,0.52875,0,2,43.3,17.3,10.1588266241924
"Amba Etta-Tawo","WR","FA",2559170,1993-11-10,0,0,0,,109,0,0,0,,,
"Ameer Abdullah","RB","DET",2552374,1993-06-13,9.1175,9.1175,9.1175,,19,0.734999999999999,0,2,50.4,11.6,7.75900671436338
"Andre Ellington","RB","HOU",2539217,1989-02-03,0,0,0,,74,0,0,4,56.3,5.9,4.77488180508989
"Andre Holmes","WR","BUF",2495453,1988-06-16,5.925,5.925,5.925,,63,0.0625,0,6,98.7,13,7.96618655617734
"Andre Roberts","WR","ATL",497320,1988-01-09,0.8125,0.8125,0.8125,,97,0.13125,0,7,,,
"Andre Williams","RB","LAC",2543565,1992-08-28,0,0,0,,74,0,0,3,,,
"Andrew Franks","K","FA",2553648,1993-01-11,0,0,0,,27,0,0,2,,,
"Andrew Hawkins","WR","FA",2508097,1986-03-10,0,0,0,,109,0,0,6,,,
"Andrew Luck","QB","IND",2533031,1989-09-12,0,0,0,,2,0,1,5,,,
"Andy Janovich","RB","DEN",2555432,1993-05-23,0,0,0,,74,0,0,1,85.5,10.5,7.18312295994218
"Anquan Boldin","WR","FA",2505587,1980-10-03,0,0,0,,109,0,0,14,,,
"Anthony Fasano","TE","MIA",2495835,1984-04-20,0.55,0.55,0.55,,46,0.16875,0,11,59.6,3.1,3.63804768881399
"Anthony Sherman","RB","KC",2495340,1988-12-11,0,0,0,,74,0,0,6,91.1,9.2,6.50253306835349
"Antone Smith","RB","FA",89798,1985-09-17,0,0,0,,74,0,0,8,,,
"Antonio Andrews","RB","FA",2550474,1992-08-17,0,0,0,,74,0,0,3,,,
"Antonio Brown","WR","PIT",2508061,1988-07-10,16.425,16.425,16.425,,2,2.64625,1,7,1.3,1.1,1.89818264701932
"Antonio Gates","TE","LAC",2505299,1980-06-18,3.5375,3.5375,3.5375,,31,0.88125,0,14,31.9,4.3,4.20514823310382
"Antwan Goodley","WR","FA",2553526,1991-09-06,0,0,0,,109,0,0,2,,,
"ArDarius Stewart","WR","NYJ",2558150,1993-12-08,0,0,0,,109,0,0,0,122.8,10.3,6.58941255998183
"Arrelious Benn","WR","JAC",497270,1988-09-08,0,0,0,,109,0,0,7,,,
"Artavis Scott","WR","FA",2559246,1994-12-12,0,0,0,,109,0,0,0,,,
"Asante Cleveland","TE","LAC",2550454,1992-03-21,0,0,0,,53,0,0,3,,,
"Austin Carr","WR","NO",2558928,1993-12-25,0,0,0,,109,0,0,0,,,
"Austin Davis","QB","SEA",2533349,1989-06-02,0,0,0,,2,0,1,5,,,
"Austin Ekeler","RB","LAC",2559169,1995-05-17,5.1175,5.1175,5.1175,,40,0.173750000000001,0,0,40.8,2.8,3.15193667899379
"Austin Hooper","TE","ATL",2555415,1994-10-29,5.275,5.275,5.275,,17,0.0250000000000004,0,1,18.2,3.1,3.63804768881399
"Austin Seferian-Jenkins","TE","NYJ",2543683,1992-09-29,8.65,8.65,8.65,,9,1.175,0,3,11.7,2.5,3.35449741666908
"Austin Traylor","TE","DEN",2556900,1993-09-03,0,0,0,,53,0,0,1,32.6,3.1,3.63804768881399
"Bears","DST","CHI",100005,,5.3,5.3,5.3,,21,0.325,0,47,19.1,4.5,6.40022862742048
"Beau Sandland","TE","FA",2555487,1993-02-23,0,0,0,,53,0,0,1,,,
"Ben Braunecker","TE","CHI",2556478,1994-02-07,0,0,0,,53,0,0,1,,,
"Ben Koyack","TE","JAC",2552396,1993-04-09,0,0,0,,53,0,0,2,,,
"Bengals","DST","CIN",100006,,12.2,12.2,12.2,,3,1.025,0,47,4.7,2.6,2.87108096443212
"Benjamin Watson","TE","BAL",2506122,1980-12-18,5,5,5,,26,0.38125,0,13,24.2,2.4,3.30723903797826
"Bennie Fowler","WR","DEN",2550198,1991-06-10,7.5625,7.5625,7.5625,,41,0.12625,0,3,90.4,8.2,5.51858834071864
"Benny Cunningham","RB","CHI",2541544,1990-07-07,2.39,2.39,2.39,,59,0.535,0,4,80.2,6.8,5.2460594223436
"Bernard Pierce","RB","FA",2533545,1991-05-10,0,0,0,,74,0,0,5,,,
"Bernard Reedy","WR","NE",2550246,1991-12-31,0,0,0,,109,0,0,3,,,
"Bilal Powell","RB","NYJ",2495328,1988-10-27,5.9325,5.9325,5.9325,,39,0.87375,0,6,39.8,2.9,3.20428974757753
"Bills","DST","BUF",100003,,7,7,7,,10,0.45,0,47,9.8,2.8,3.24257019211511
"Bishop Sankey","RB","MIN",2543682,1992-09-15,0,0,0,,74,0,0,3,,,
"Blaine Gabbert","QB","ARI",2495441,1989-10-15,0,0,0,,2,0,1,6,23.3,2.7,5.79822645711148
"Blair Walsh","K","SEA",2532968,1990-01-08,8.9,8.9,8.9,,8,0.15,0,5,21.9,4.6,5.73842690192806
"Blake Bell","TE","MIN",2552478,1991-08-07,0,0,0,,53,0,0,2,,,
"Blake Bortles","QB","JAC",2543477,1991-12-16,0,0,0,,2,0,1,3,24.1,2.4,5.12146924347349
"Bralon Addison","RB","FA",2556457,1993-10-12,0,0,0,,74,0,0,1,,,
"Branden Oliver","RB","LAC",2550658,1991-05-07,0.6625,0.6625,0.6625,,65,0.17375,0,3,83,7.8,5.76959010818106
"Brandin Cooks","WR","NE",2543498,1993-09-25,13.645,13.645,13.645,,4,0.526250000000001,0,3,5.9,1.5,2.10214916497421
"Brandon Allen","QB","LAR",2555365,1992-09-05,0,0,0,,2,0,1,1,,,
"Brandon Bolden","RB","NE",2532797,1990-01-26,0,0,0,,74,0,0,5,,,
"Brandon Burks","RB","FA",2556728,1993-11-01,0,0,0,,74,0,0,1,,,
"Brandon Coleman","WR","NO",2550328,1992-06-22,6.1375,6.1375,6.1375,,57,0.0587499999999999,0,3,80,8.6,5.72255485867354
"Brandon Doughty","QB","FA",2555302,1991-10-06,0,0,0,,2,0,1,1,,,
"Brandon LaFell","WR","CIN",497302,1986-11-04,7.15,7.15,7.15,,46,0.30125,0,7,61.2,5.2,3.98883945605696
"Brandon Marshall","WR","NYG",2495893,1984-03-23,0,0,0,,109,0,0,11,,,
"Brandon McManus","K","DEN",2541556,1991-07-25,7,7,7,,19,0.25,0,3,24.9,4.7,5.88611228231368
"Brandon Myers","TE","FA",89766,1985-09-04,0,0,0,,53,0,0,8,,,
"Brandon Radcliff","RB","FA",2558898,1993-03-18,0,0,0,,74,0,0,0,,,
"Brandon Reilly","WR","BUF",2559235,1993-09-24,0,0,0,,109,0,0,0,,,
"Brandon Tate","WR","BUF",81306,1987-10-05,0.6,0.6,0.6,,100,0.01875,0,8,123.5,8.8,5.82453811765098
"Brandon Weeden","QB","TEN",2532970,1983-10-14,0,0,0,,2,0,1,5,,,
"Brandon Williams","TE","IND",2539645,1987-10-12,0,0,0,,53,0,0,5,59.1,6.4,5.19757418561101
"Braxton Miller","WR","HOU",2555348,1992-11-30,1.9625,1.9625,1.9625,,93,0.2375,0,1,91,12.2,7.55825352026756
"Brent Celek","TE","PHI",2507218,1985-01-25,1.2125,1.2125,1.2125,,41,0.09375,0,10,56.7,10.8,7.27694284800704
"Brenton Bersin","WR","CAR",2535966,1990-05-09,0,0,0,,109,0,0,4,119.3,4.2,3.47892316116973
"Breshad Perriman","WR","BAL",2552597,1993-09-10,5.7925,5.7925,5.7925,,66,0.0549999999999997,0,2,116,15.1,9.03701077544053
"Brett Hundley","QB","GB",2552588,1993-06-15,0,0,0,,2,0,1,2,23.1,2.4,5.12146924347349
"Brian Hill","RB","CIN",2558112,1995-11-09,0,0,0,,74,0,0,0,78.9,8.5,6.13606158826727
"Brian Hoyer","QB","NE",81294,1985-10-31,0,0,0,,2,0,1,8,,,
"Brian Quick","WR","WAS",2532933,1989-06-05,0,0,0,,109,0,0,5,,,
"Brice Butler","WR","DAL",2541388,1990-01-29,5.85,5.85,5.85,,65,0.0662499999999993,0,4,95.6,7.8,5.31462182276375
"Brittan Golden","WR","ARI",2535988,1988-07-20,0,0,0,,109,0,0,5,,,
"Brock Osweiler","QB","DEN",2533436,1990-11-22,0,0,0,,2,0,1,5,,,
"Broncos","DST","DEN",100009,,6.85,6.85,6.85,,11,0.699999999999999,0,47,11.8,3.6,4.72852710284705
"Bronson Hill","RB","ARI",2554357,1993-01-02,0,0,0,,74,0,0,2,,,
"Browns","DST","CLE",100007,,4.95,4.95,4.95,,23,0.325,0,47,22.7,6,9.18639783504288
"Bruce Ellington","WR","HOU",2543646,1991-08-22,5.875,5.875,5.875,,64,0.05375,0,3,68.8,12.5,7.71122840873373
"Bryan Walters","WR","FA",2528181,1987-11-04,0,0,0,,109,0,0,7,,,
