,Actual_Points,sdPts
7,12.0,1.1
5,12.0,3.0
29,12.0,2.3
12,12.0,1.4
24,9.8,0.9
44,9.2,1.4
18,8.7,2.6
40,8.2,1.6
21,5.6,1.5
767,5.6,3.3
822,4.9,1.6
33,3.8,2.6

1,17.6,2.0
3,13.1,0.9
5,28.6,2.3
6,15.7,1.4
7,16.0,1.3
8,39.0,2.0
9,38.8,0.7
10,16.4,1.4
11,34.5,0.5
12,23.8,1.4
14,15.4,1.6
15,22.7,1.4
16,24.7,0.9
17,16.6,1.0
18,19.4,1.4
19,31.7,0.8
21,13.4,0.8
22,15.5,1.3
25,14.9,1.0
27,15.7,1.7
28,31.0,1.8
30,33.6,2.1
31,13.6,0.9
33,16.4,2.0
35,17.1,1.5
36,26.6,2.0
43,15.5,0.8
48,19.8,1.6
51,15.5,1.7
71,15.0,2.1
269,8.9,3.3

6,40.5,1.2
13,40.2,0.8
5,29.6,1.0
10,28.1,0.8
78,27.7,1.6
20,26.6,1.6
25,26.2,1.4
11,26.0,2.1
2,25.3,0.6
7,25.0,1.4
17,22.3,1.8
3,19.9,1.4
42,19.8,1.3
16,18.5,1.3
24,18.1,1.4
8,17.8,0.9
21,17.0,1.5
39,15.6,1.0
9,15.6,1.0
35,15.3,1.1
23,13.9,1.4
15,12.2,1.4
14,11.0,1.4
29,10.8,0.8
84,10.3,3.2
995,9.8,0.3
724,9.1,4.5
19,8.9,1.4
1,8.5,0.9
40,6.7,2.6
38,6.6,2.3
1128,5.4,0.4

2,16.0,2.0
3,8.6,1.6
4,21.0,1.0
5,32.1,1.7
6,22.7,1.1
9,29.3,0.6
10,9.0,1.1
11,15.9,1.1
13,25.8,0.8
14,20.7,1.2
15,35.7,0.7
16,4.0,1.4
17,8.8,1.4
19,20.8,0.8
20,39.3,1.9
21,31.7,0.7
22,14.8,2.5
24,22.2,1.3
25,14.7,1.1
26,25.3,1.2
28,18.4,0.9
32,43.5,1.8
34,33.6,1.1
35,3.9,1.7
42,31.4,1.7
45,19.8,1.0
71,12.5,1.5
92,11.5,1.4
843,8.5,1.4
930,6.1,1.3
1152,3.3,0.1

1,22.6,1.2
2,18.4,1.5
3,22.0,1.8
4,14.4,1.1
5,28.7,2.1
6,29.5,1.5
7,21.4,2.0
9,14.7,1.0
10,27.2,1.7
12,24.6,1.0
13,15.2,0.7
14,16.3,1.1
15,21.0,0.9
16,14.1,0.9
20,13.9,0.7
21,19.9,1.9
22,24.6,1.6
25,13.7,1.0
26,12.2,1.2
27,14.2,1.1
30,5.2,1.3
34,9.1,1.5
39,22.7,1.7
41,21.2,1.5
42,19.0,2.4
43,22.1,1.4
46,10.5,1.3
49,10.2,2.2
64,19.4,1.7
874,8.3,0.8

1,21.8,1.7
2,29.0,0.8
3,27.5,1.6
4,28.4,1.6
5,32.9,2.0
7,7.3,2.3
8,24.3,1.3
9,8.4,1.5
10,21.9,1.4
11,18.1,1.1
12,21.1,0.9
13,24.5,0.8
14,15.3,1.6
15,15.8,1.1
16,17.2,1.2
17,11.2,1.7
18,25.7,1.1
22,12.9,2.2
24,14.3,1.7
27,28.3,1.7
29,18.9,1.0
33,20.5,1.8
34,4.8,1.7
36,10.2,1.4
37,7.2,1.6
39,29.5,1.0
50,19.0,1.6
52,5.4,2.3
67,8.6,1.6
307,28.0,4.2
1163,4.6,0.3

2,33.8,1.1
3,19.3,1.7
4,16.5,1.7
6,22.1,1.7
7,17.5,0.9
8,18.7,2.0
9,22.7,1.7
10,8.9,0.9
11,25.7,0.9
12,20.1,1.7
13,19.6,1.4
15,16.8,1.1
16,22.7,1.0
17,17.6,1.5
18,33.4,1.5
20,20.7,1.0
22,20.9,2.5
23,10.9,1.3
24,12.7,0.8
26,20.2,1.4
28,8.1,0.9
34,9.8,1.9
36,16.3,1.3
42,17.8,1.9
43,15.0,2.0
61,6.2,1.4
701,7.1,0.7
986,10.0,0.3

2,27.0,2.0
3,15.9,3.0
4,12.8,1.1
5,21.7,1.7
6,7.8,1.3
7,23.4,2.0
8,26.5,2.1
9,20.2,1.0
10,21.9,1.8
11,13.8,1.6
12,17.9,1.6
13,31.0,2.5
14,23.4,1.3
15,28.0,1.8
19,12.4,0.7
20,18.0,1.5
21,24.1,1.9
22,15.1,1.1
25,11.1,0.8
26,16.4,2.0
29,14.6,1.2
34,27.8,2.4
37,19.7,1.5
41,12.5,1.6
46,8.6,1.4
65,12.3,1.6
69,20.3,2.2
113,8.5,2.4
706,8.4,0.4
819,19.6,1.4

1,21.2,2.1
2,27.8,1.7
3,15.7,2.0
4,19.2,2.6
6,30.3,1.9
7,7.9,1.6
8,31.4,1.9
10,26.0,0.9
11,29.0,0.7
12,20.3,0.9
13,17.4,0.9
15,20.5,1.5
16,9.0,1.7
17,17.1,1.3
18,6.6,0.7
19,25.2,1.7
20,7.3,0.8
23,15.8,1.1
24,8.2,1.6
25,18.9,1.8
30,15.6,2.2
36,22.8,1.1
39,6.0,1.3
42,5.2,1.9
313,15.2,3.6

2,38.9,1.4
3,25.5,2.3
4,35.1,2.1
5,30.5,1.4
6,21.6,0.7
7,3.8,0.8
8,14.7,1.4
10,14.8,1.0
12,11.0,1.3
13,18.1,0.6
16,11.1,1.2
17,23.7,1.2
18,16.9,0.9
20,23.9,1.2
22,21.6,0.9
24,19.0,1.3
25,4.1,1.7
26,13.4,1.2
27,17.1,0.9
29,3.9,1.6
30,16.7,1.6
31,6.7,1.0
38,8.2,1.3
40,15.4,1.5
41,19.3,1.4
47,15.7,1.2
784,16.6,1.5
959,7.7,0.5
999,9.7,0.3

1,21.4,1.5
3,21.7,1.2
4,25.1,0.8
5,23.5,2.4
6,11.9,1.2
7,22.3,0.9
8,19.2,1.8
9,22.0,1.3
10,13.2,0.7
11,27.4,1.3
12,22.2,2.1
13,22.9,1.9
14,29.4,1.0
16,20.7,1.0
18,27.4,1.0
20,25.9,0.8
22,10.7,1.3
24,9.1,1.3
26,14.9,0.9
29,18.9,2.3
30,7.4,1.8
35,15.6,1.6
39,11.0,1.7
40,22.9,2.3
41,17.6,2.6
47,18.5,1.1
48,16.5,1.4
63,9.8,2.4
67,26.3,1.8
84,7.1,1.4
1070,17.1,0.8

1,33.0,2.0
2,19.3,3.0
3,9.1,1.8
4,15.3,1.3
5,8.3,1.4
7,24.8,1.4
8,16.0,0.6
9,22.8,1.3
11,10.0,0.8
12,18.2,1.0
13,10.5,1.8
14,15.9,2.3
15,14.1,1.1
16,7.6,1.0
17,20.8,1.0
19,24.0,0.9
20,16.5,2.5
24,11.0,0.6
25,16.9,1.3
27,10.9,1.3
29,22.6,1.5
32,13.8,0.8
35,10.7,1.2
36,9.8,1.1
39,24.2,1.8
43,30.7,1.6
51,16.0,1.6
53,8.8,1.2
59,23.7,1.9
73,4.4,1.8
99,9.2,1.0

1,21.8,2.1
2,19.3,1.2
3,20.2,1.2
4,14.9,1.6
5,18.2,2.9
6,11.9,2.1
7,13.5,1.9
8,20.2,1.0
10,26.6,2.1
12,21.5,1.2
14,26.4,1.1
15,19.0,1.9
17,7.7,1.9
18,10.0,0.7
19,3.7,0.8
21,24.6,0.7
22,10.8,0.8
23,13.7,0.7
24,18.8,1.0
25,20.3,1.2
28,13.8,1.5
32,19.9,0.8
36,23.9,1.7
38,6.8,1.6
41,18.8,1.4
43,4.7,2.1
47,19.3,1.8
53,12.0,1.3
77,8.9,1.3
81,13.3,1.6
113,10.8,2.3

1,18.0,1.0
3,6.9,1.7
4,5.7,2.4
5,14.2,2.1
6,15.1,1.9
7,12.7,1.1
8,20.5,1.4
9,9.7,0.7
10,16.3,0.8
11,22.4,0.5
12,16.7,1.9
13,19.0,1.6
14,25.0,1.5
15,19.0,1.5
18,19.8,1.6
20,7.2,1.0
22,14.5,2.2
23,5.3,1.5
24,13.1,0.9
25,12.1,0.8
29,11.4,2.0
30,10.3,1.3
32,4.6,1.3
33,14.8,1.6
38,14.4,1.5
43,6.2,1.6
57,4.4,2.7
60,6.1,1.3
61,14.9,2.8
64,12.3,2.5
91,21.6,1.4
1214,8.4,0.3

10,42.9,1.0
9,36.5,1.1
25,31.9,0.7
8,29.6,1.0
5,28.5,2.0
1,28.2,2.6
39,26.0,1.1
21,25.0,1.0
7,22.6,0.8
15,22.2,1.0
41,21.4,1.8
4,19.5,1.2
56,17.4,1.6
14,17.2,1.3
3,16.9,1.9
12,16.6,1.2
16,16.1,2.6
30,16.0,1.8
54,15.3,4.8
24,14.8,1.5
22,13.7,1.8
17,12.1,1.0
44,11.0,1.9
50,10.3,1.9
45,8.6,1.1
105,8.4,1.2
1114,8.0,0.7
11,7.0,1.5
35,6.4,1.2
19,5.3,1.1
34,5.1,2.0
52,4.6,2.2

1,18.3,9.3
3,14.8,7.7
4,29.8,7.5
5,22.0,7.8
6,8.9,7.8
7,26.0,0.9
9,24.0,1.2
10,41.5,2.1
11,31.1,1.2
13,9.0,6.4
14,26.2,1.4
15,16.2,1.2
16,10.0,6.2
19,3.4,5.9
20,10.1,6.3
21,19.2,6.1
22,18.4,5.6
23,8.9,2.1
24,22.1,1.2
34,3.0,1.9
40,24.0,5.5
42,4.8,1.5
44,7.5,1.5
47,5.1,2.3
52,13.5,5.3
54,25.0,3.1
67,9.6,2.9
95,33.5,5.3
112,6.0,0.8
657,7.9,1.1
994,4.7,0.4
1057,8.3,0.2

1,10.7,2.7
2,17.5,1.5
3,17.9,1.9
4,8.3,1.6
6,15.6,3.5
7,14.1,1.9
9,11.6,2.3
10,18.8,2.0
12,18.7,1.1
13,17.1,1.7
14,19.8,1.2
15,28.1,1.0
18,16.7,2.5
19,25.5,2.0
21,12.0,0.9
22,31.0,1.6
23,7.7,1.5
27,19.9,1.2
30,18.7,2.6
32,7.8,1.2
33,4.2,2.5
37,19.6,2.3
38,23.7,2.2
44,12.5,1.3
51,16.4,2.2
67,10.3,2.9
69,11.5,3.2
156,3.3,5.7
1104,6.7,0.6

1,30.8,2.3
2,19.5,1.4
3,14.9,0.9
4,15.3,1.3
5,22.2,2.6
6,21.2,1.6
7,11.8,1.9
8,12.5,1.6
9,17.5,0.4
10,11.9,1.4
11,14.0,1.6
12,13.2,1.6
13,16.9,1.6
15,16.1,1.4
16,17.2,0.9
18,10.5,1.4
19,17.9,1.9
20,15.6,1.8
21,9.5,1.9
22,12.6,1.1
23,23.6,1.7
24,13.1,2.1
26,25.8,3.1
31,11.8,2.1
55,4.9,1.9
60,15.7,1.9
64,12.1,2.1
65,9.8,1.4
67,12.0,1.3
70,17.7,1.7
221,6.7,6.1
1096,8.2,0.1

1,25.8,2.7
2,35.7,2.1
3,16.7,0.8
4,11.3,2.6
5,20.8,2.6
6,16.5,0.9
8,15.1,2.0
9,7.2,1.5
10,33.5,0.6
11,12.0,0.5
12,22.9,2.2
13,26.8,1.3
14,6.5,0.9
15,19.7,0.9
18,21.7,1.8
19,16.3,2.5
20,17.8,2.3
21,18.5,0.8
23,12.7,1.2
24,9.6,1.2
25,13.2,2.1
33,25.1,2.0
39,27.6,2.3
41,27.8,2.1
46,24.6,1.3
48,28.6,2.5
53,7.4,2.3
55,23.6,2.2
57,22.1,1.2
61,27.2,1.5
66,14.7,2.2

1,23.1,2.2
2,20.5,2.8
3,29.6,3.4
4,19.0,1.1
5,10.5,1.2
6,23.6,1.1
9,27.3,1.6
10,12.5,1.1
11,10.1,0.5
12,17.7,1.0
13,17.4,0.9
14,15.1,1.5
15,28.3,1.9
16,19.9,1.1
18,20.6,1.1
20,6.1,1.6
21,34.0,2.4
22,11.3,1.5
24,12.4,1.9
25,26.5,1.5
27,27.7,0.9
28,8.8,1.9
30,11.5,2.1
36,9.7,2.1
37,34.7,1.0
38,18.1,2.4
42,4.7,2.0
52,11.4,1.6
57,8.7,1.1
59,10.6,1.5
64,6.0,1.6
65,6.7,1.6

1,24.0,2.2
2,13.6,2.0
3,30.7,1.1
4,12.5,2.0
5,18.5,0.6
8,15.2,2.0
9,26.9,2.1
11,9.9,2.1
12,26.2,1.6
14,14.0,0.8
15,35.5,1.9
17,28.3,1.9
18,21.8,1.5
19,15.3,2.6
20,7.6,1.7
21,15.6,2.2
22,19.0,2.1
32,3.7,1.9
34,7.5,1.1
36,9.7,2.1
38,22.1,1.6
42,14.5,1.9
44,8.5,1.5
52,3.4,2.2
54,10.3,1.6
55,11.9,1.4
314,7.6,5.2
443,11.8,4.5
779,17.8,0.9
1286,3.2,0.0

1,17.2,2.5
3,13.5,1.7
4,12.9,0.7
5,24.3,1.0
6,28.8,1.7
7,15.1,1.8
8,17.9,0.6
11,23.7,1.3
12,15.2,2.3
13,21.9,0.9
14,14.3,0.8
17,8.8,2.3
20,21.4,1.5
21,14.0,3.1
23,12.9,1.6
24,14.1,1.3
25,17.9,2.4
28,14.5,2.1
39,22.3,2.2
41,10.2,2.1
42,7.4,1.5
51,9.9,0.7
52,9.1,1.8
58,12.9,1.4
77,9.7,1.7
864,22.6,0.3
938,7.6,0.1
945,14.2,0.1
1296,8.7,0.0

1,18.5,2.1
2,30.0,1.7
3,25.7,2.0
4,17.0,1.1
5,21.1,1.5
7,24.9,2.1
10,20.0,0.4
11,26.4,2.6
12,32.0,1.0
13,8.9,0.7
14,9.4,1.3
17,24.4,1.0
18,3.9,1.2
19,16.7,1.6
21,30.2,1.5
25,16.3,0.9
27,6.7,1.2
28,19.7,1.4
32,25.5,2.1
34,15.3,1.5
36,14.4,0.9
37,12.4,0.6
38,7.4,1.1
42,11.1,0.9
49,12.9,1.7
50,4.6,1.1
52,7.4,1.8
68,12.5,2.1
85,11.4,0.7
477,14.5,0.1
478,3.7,0.2

1,17.5,2.6
2,7.3,2.7
3,18.1,2.7
4,11.8,1.9
6,11.5,2.4
7,36.1,1.7
8,13.6,2.5
10,13.4,1.6
11,16.7,1.0
12,15.9,1.1
14,18.7,2.0
15,11.5,1.0
16,5.7,2.0
18,18.0,2.1
19,15.5,0.7
20,35.8,2.3
22,14.5,1.2
28,16.9,2.4
30,18.5,1.1
32,10.9,2.0
33,18.3,2.3
38,12.7,1.9
47,8.9,1.1
49,10.9,2.0
67,5.0,2.2
92,15.0,3.5
755,4.5,0.3

1,25.6,3.1
2,26.7,3.2
3,18.7,0.8
4,19.4,1.6
6,22.4,1.8
7,19.4,2.3
8,20.1,2.2
9,24.8,2.5
