,Actual_Points,sdPts
90,27.7,2.4
92,9.0,2.2
93,1.1,1.6
99,12.9,2.2
103,1.2,2.8
106,11.4,2.1
109,7.6,2.3
110,10.4,1.8
111,19.0,3.1
113,19.1,2.1
119,7.3,1.2
123,6.0,2.0
147,10.9,1.0
157,23.6,0.6
166,16.0,3.0
185,11.2,0.2
211,3.5,1.2
212,3.3,1.2
214,2.6,1.5
228,13.8,0.5
233,15.6,0.6
249,5.1,2.2
273,7.7,1.3
287,7.5,0.8
288,15.5,1.7
297,5.9,0.3
300,18.9,0.6
332,11.8,1.7
337,5.9,1.0
349,2.4,1.1
359,10.7,1.3
372,17.4,0.8
373,4.0,0.8
393,7.1,1.4
400,5.7,0.7
402,10.8,1.1
405,2.5,1.1
464,29.2,0.7
469,18.3,1.0
472,5.1,0.8
506,6.2,0.7
515,5.5,1.0
518,0.4,0.9
530,2.4,0.8
536,1.0,1.0
537,0.9,0.7
542,8.8,1.2
552,3.4,1.2
553,4.9,1.4
555,10.9,1.2
560,4.3,1.2
569,4.3,0.9
584,1.9,1.5
586,0.0,1.1
588,2.8,0.8
600,12.3,0.4
605,1.5,1.5
606,2.0,1.6
612,0.0,1.2
613,8.2,1.3
622,13.3,1.5
632,0.0,0.6
637,1.5,0.5
639,10.0,1.1
650,4.8,0.6
651,9.7,3.1
656,2.8,0.9
662,2.7,0.6
663,2.5,0.4
669,0.0,0.5
672,1.9,0.7
689,0.0,0.5
693,0.0,1.8
701,0.0,0.9
705,0.0,1.1
708,1.5,0.8
714,3.9,1.1
720,1.1,0.7
721,2.4,1.3
722,4.7,1.5
735,0.0,0.9
741,4.5,1.6
750,1.2,1.3
759,0.0,0.3
762,2.9,0.7
764,0.0,0.8
779,8.0,0.3
791,1.1,0.4
798,1.8,0.3
803,0.0,1.4
806,1.1,0.3
807,0.0,0.3
827,4.1,1.0
861,1.1,0.6
863,12.3,0.3
891,11.6,0.6
898,0.0,0.7
932,9.8,0.5
939,4.8,0.9
949,0.0,0.5
974,0.0,0.5
1033,0.0,0.7
1039,1.3,0.6
1050,0.0,0.8
1058,0.0,0.3
1068,0.0,0.3
1085,0.0,0.4
1087,0.0,0.5
1088,0.0,0.3
1113,0.0,0.5
1128,0.0,0.2
1161,0.0,0.1
1177,3.9,0.4
1197,0.0,0.1
1228,0.0,0.0
1229,0.0,0.1
1230,0.0,0.2
21,7.3,1.3
30,7.3,1.6
33,5.6,1.7
40,23.0,1.3
44,7.1,2.0
47,10.1,2.5
48,16.9,1.6
49,4.9,1.4
50,22.4,2.2
52,3.0,1.6
56,7.3,2.0
58,21.2,2.7
60,3.0,1.3
63,14.0,1.7
70,13.4,2.4
74,4.8,1.6
75,4.2,2.5
79,35.2,2.4
81,5.0,2.7
83,7.2,2.0
84,1.6,2.1
87,5.9,2.3
93,9.2,2.1
94,6.3,2.4
96,11.2,2.2
107,3.8,2.9
110,11.3,1.9
