,Points,Salary
0,124.22000000000001,58900.0
0,101.22000000000001,58700.0
0,162.76,59000.0
0,122.32000000000001,58100.0
0,127.86000000000001,59600.0
0,116.39999999999999,58400.0
0,110.03999999999999,58200.0
0,134.56,59400.0
0,116.62,59000.0
0,77.86,58400.0
0,151.70000000000002,58200.0
0,134.92000000000002,59300.0
0,113.00000000000001,59400.0
0,114.34,58100.0
0,116.96000000000001,58100.0
0,121.19999999999999,58400.0
0,120.6,59000.0
0,99.56000000000002,59200.0
0,101.3,58500.0
0,96.2,58400.0
0,146.58,58200.0
0,84.67999999999999,58600.0
0,86.4,59000.0
0,115.82,58500.0
0,104.92000000000002,59600.0
0,92.97999999999999,58300.0
0,128.97999999999996,58100.0
0,93.18,59700.0
0,129.48000000000002,59400.0
0,102.46000000000001,58800.0
0,116.62,58200.0
0,122.23999999999998,58300.0
0,91.52000000000001,59300.0
0,128.56,59700.0
0,120.04000000000002,58900.0
0,103.67999999999999,59000.0
0,79.988784527,58900.0
0,121.04,58200.0
0,110.72,58500.0
0,99.8,59200.0
0,107.28,59100.0
0,115.6,58800.0
0,149.98,59000.0
0,143.74,58300.0
0,141.12,58600.0
0,111.33999999999999,58400.0
0,88.08,58700.0
0,143.54,59700.0
0,96.97999999999999,58400.0
0,97.88,59400.0
0,111.18,58400.0
0,91.6,58600.0
0,98.4,59300.0
0,130.54000000000002,59200.0
0,134.32,58200.0
0,92.74,58200.0
0,93.58,58400.0
0,135.9,58700.0
0,106.92,58300.0
0,148.02,58400.0
0,90.78000000000002,58200.0
0,116.8,58100.0
0,86.22000000000001,58400.0
0,128.68,58500.0
0,105.46000000000001,59400.0
0,124.60000000000001,58700.0
0,86.16,58300.0
0,78.89999999999999,59100.0
0,101.42,58400.0
