,Points,Salary
0,108.72,55200.0
0,87.5,51600.0
0,107.55999999999999,56300.0
0,126.04,54100.0
0,164.34,55200.0
0,119.52000000000001,55200.0
0,104.44,57100.0
0,133.83999999999997,56600.0
0,114.4,58700.0
0,112.67999999999999,58700.0
0,120.48,51600.0
0,116.88,52900.0
0,117.54,58500.0
0,196.26,59800.0
0,112.89999999999999,59900.0
0,74.58,53000.0
0,129.1,56700.0
0,92.7,56600.0
0,89.47999999999999,53100.0
0,74.89999999999999,53700.0
0,110.3,51800.0
0,95.75999999999999,51800.0
0,120.58000000000001,58000.0
0,90.43999999999998,57900.0
0,101.97999999999999,54800.0
0,83.02000000000001,50100.0
0,97.24,53000.0
0,115.98,55300.0
0,153.6,59100.0
0,101.56,55500.0
0,99.96000000000001,57300.0
0,104.52000000000001,53300.0
0,92.16,59900.0
0,105.36,59600.0
0,124.44,54800.0
0,107.58,56600.0
0,137.7,54100.0
0,100.67999999999999,55200.0
0,88.22,57400.0
0,121.94000000000001,57400.0
0,96.78,58300.0
0,109.58,54400.0
0,88.25687857100002,58800.0
0,72.0,50100.0
0,100.56,54400.0
0,130.89999999999998,55200.0
0,149.76,58800.0
0,87.27999999999999,54800.0
0,90.78,54300.0
0,81.68,59800.0
0,112.41999999999999,54300.0
0,84.74,53100.0
0,127.78,58600.0
0,98.44,55000.0
0,102.08,55400.0
0,109.70000000000002,53100.0
0,95.32000000000001,57100.0
0,106.66000000000001,53900.0
0,77.4,51400.0
0,117.0,52800.0
0,151.92,59900.0
0,85.66,51500.0
0,146.79999999999998,57400.0
0,131.96,58100.0
0,109.28,51900.0
0,117.32000000000002,59500.0
0,120.28,58500.0
0,92.54,57800.0
0,123.54000000000002,57200.0
0,99.08,58600.0
0,91.58,53500.0
0,95.4,55400.0
0,123.27999999999999,57300.0
0,93.76,57300.0
0,144.14000000000001,59700.0
0,116.05999999999999,55400.0
0,121.3,54700.0
