,Points,Salary
0,121.08,58400.0
0,113.30000000000001,58500.0
0,103.82000000000001,59000.0
0,125.01999999999998,58500.0
0,157.22,58300.0
0,113.42000000000002,59200.0
0,132.76,58100.0
0,96.13999999999999,58300.0
0,114.4,58700.0
0,112.67999999999999,58700.0
0,154.72,59000.0
0,124.74000000000001,58800.0
0,117.54,58500.0
0,196.26,59800.0
0,112.89999999999999,59900.0
0,104.14,58100.0
0,119.28,59800.0
0,131.94,58400.0
0,133.56,58400.0
0,103.17999999999999,58600.0
0,152.06,59600.0
0,137.38,59100.0
0,92.43999999999998,59000.0
0,135.84,58700.0
0,81.34,59200.0
0,103.28,58300.0
0,153.6,59100.0
0,75.4,58700.0
0,101.56,59500.0
0,97.92000000000002,58200.0
0,92.16,59900.0
0,105.36,59600.0
0,133.07999999999998,58200.0
0,117.88,59000.0
0,122.32000000000002,59300.0
0,107.98,58800.0
0,94.02000000000001,59200.0
0,139.8,59800.0
0,96.78,58300.0
0,106.88000000000001,58500.0
0,88.25687857100002,58800.0
0,107.41999999999999,58200.0
0,92.66000000000001,58700.0
0,143.4,59900.0
0,149.76,58800.0
0,88.78,58300.0
0,81.68,59800.0
0,115.41999999999999,58400.0
0,92.8,58600.0
0,127.78,58600.0
0,115.33999999999999,59400.0
0,107.72,58400.0
0,107.69999999999999,58200.0
0,115.96000000000001,58400.0
0,125.47999999999999,58200.0
0,128.08,58100.0
0,151.92,59900.0
0,116.64000000000001,58200.0
0,149.12,59000.0
0,131.96,58100.0
0,100.6,58700.0
0,117.32000000000002,59500.0
0,120.28,58500.0
0,93.53999999999999,59700.0
0,119.94,58400.0
0,99.08,58600.0
0,115.58,58700.0
0,127.18,58700.0
0,122.97999999999999,58200.0
0,95.76,58200.0
0,144.14000000000001,59700.0
0,132.7,58400.0
0,126.75999999999999,58700.0
