,Actual_Points,sdPts
711,6.8,0.9
714,9.2,0.6
744,9.2,0.6
768,5.3,0.4
788,3.1,0.5
828,8.4,0.5
935,4.0,0.5
947,8.0,0.5
1000,6.0,0.7
1004,5.0,0.8
1212,7.7,0.1

52,7.1,1.9
72,15.4,1.3
74,9.8,1.5
136,7.0,1.8
150,8.5,1.6
151,5.8,1.6
178,12.4,1.8
228,13.3,0.9
262,7.5,1.7
272,10.2,1.1
294,5.6,0.8
425,3.3,1.0
431,10.4,0.9
449,4.6,0.7
459,5.8,0.9
493,10.0,0.7
555,3.5,0.7
582,19.2,0.8
626,6.0,0.5
642,10.9,1.2
652,4.7,0.5
666,5.4,0.7
667,8.0,0.9
683,6.9,0.8
687,4.6,0.6
689,4.5,0.6
739,7.2,0.7
762,11.4,0.3
775,7.8,0.6
862,9.1,0.9
865,8.9,0.8
918,6.3,0.8

54,17.3,1.3
56,6.4,1.7
72,16.2,1.6
124,9.6,2.0
143,12.5,1.8
165,8.2,1.3
192,27.0,1.8
278,7.7,2.0
315,15.6,0.9
321,21.5,0.9
343,11.8,0.7
348,6.7,0.9
474,6.2,0.5
481,3.4,0.6
495,6.0,0.4
496,4.4,1.1
550,9.7,0.8
565,10.4,0.8
592,7.7,0.8
616,11.4,0.9
643,5.1,0.9
708,7.6,0.4
747,11.4,0.6
754,6.9,0.3
783,3.4,0.4
793,7.8,0.7
948,8.8,0.5
996,8.2,0.2
1057,3.8,0.2

66,12.5,1.9
73,22.0,1.7
134,10.5,1.6
141,10.6,2.0
145,4.0,1.5
150,27.0,1.7
157,10.8,1.7
264,6.6,0.4
292,9.9,2.3
428,12.2,0.7
487,4.7,0.9
491,5.8,0.8
505,7.0,1.1
513,5.3,0.9
529,5.3,0.4
590,4.1,0.8
629,9.5,0.7
677,7.8,0.5
738,3.6,0.7
764,9.4,0.4
774,3.9,0.7
775,7.8,1.0
841,10.0,0.6
850,3.1,0.9
952,3.7,0.4

51,8.6,1.3
69,13.8,1.8
75,11.2,1.6
108,15.0,2.0
132,12.9,1.7
144,6.1,2.0
155,5.0,1.9
202,15.0,2.0
253,5.7,0.6
278,10.3,0.7
317,17.6,0.9
320,8.4,1.7
354,14.2,2.1
359,6.8,1.5
360,8.0,2.1
375,10.3,0.6
491,9.4,0.8
509,3.1,0.7
523,4.0,0.8
533,3.8,0.8
600,12.3,0.6
607,5.1,0.8
