"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"A.J. Derby","TE","DEN",2552580,1991-09-20,0,0,0,,47,0,0,1,,,
"A.J. Green","WR","CIN",2495450,1988-07-31,13.8,13.8,13.8,,3,0.452499999999999,0,5,3.7,1.4,2.26602756699627
"AJ McCarron","QB","CIN",2543497,1990-09-13,0,0,0,,26,0,0,2,,,
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,,106,0,0,0,,,
"Aaron Dobson","WR","ARI",2539256,1991-07-23,0,0,0,,106,0,0,3,,,
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,,26,0,0,2,,,
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,0,0,0,,58,0,0,1,87.1,3.5,3.58071399462512
"Aaron Rodgers","QB","GB",2506363,1983-12-02,0,0,0,,26,0,0,11,,,
"Adam Humphries","WR","TB",2553895,1993-06-24,5.9825,5.9825,5.9825,,50,0.0100000000000007,0,1,88.1,8.3,5.71344377894065
"Adam Thielen","WR","MIN",2541785,1990-08-22,11.7875,11.7875,11.7875,,9,0.68,0,2,8.7,1.9,2.51584033597775
"Adam Vinatieri","K","IND",2503471,1972-12-28,0,0,0,,21,0,0,20,18.1,3.5,4.94563588462671
"Adrian Peterson","RB","MIN",2507164,1985-03-21,8.72,8.72,8.72,,16,0.125,0,9,,,
"Alan Cross","TE","TB",2556508,1993-05-02,0,0,0,,47,0,0,0,72,15,9.24576814617129
"Albert Wilson","WR","KC",2550272,1992-07-12,0,0,0,,106,0,0,2,67.8,6.6,4.86408036440363
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,0,0,0,,106,0,0,5,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,1.36,1.36,1.36,,95,0.22625,0,0,105.6,9.6,6.36295697829248
"Alex Smith","QB","KC",2506340,1984-05-07,15.12,15.12,15.12,,11,0.795,0,11,4.2,2.8,5.1045396906816
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,,26,0,0,4,,,
"Alfred Blue","RB","HOU",2543600,1991-04-27,0,0,0,,58,0,0,2,68.9,5.7,4.78861697792289
"Alfred Morris","RB","DAL",2533457,1988-12-12,8.595,8.595,8.595,,17,0.0187499999999989,0,4,17.6,3.8,3.74542803780209
"Allen Hurns","WR","JAC",2550353,1991-11-21,0,0,0,,106,0,0,2,95.1,16.3,9.71044808264427
"Allen Robinson","WR","JAC",2543509,1993-08-24,0,0,0,,106,0,0,2,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,10.35,10.35,10.35,,19,0.118749999999999,0,4,,,
"Amari Cooper","WR","OAK",2552487,1994-06-18,10.025,10.025,10.025,,22,0.69,0,1,43.6,16.8,9.96026085162574
"Ameer Abdullah","RB","DET",2552374,1993-06-13,8.595,8.595,8.595,,17,0.0749999999999993,0,1,50.2,11.1,7.75346975510832
"Andre Ellington","RB","ARI",2539217,1989-02-03,0,0,0,,58,0,0,3,,,
"Andre Holmes","WR","OAK",2495453,1988-06-16,3.5875,3.5875,3.5875,,77,0.26375,0,5,,,
"Andre Roberts","WR","DET",497320,1988-01-09,0.8,0.8,0.8,,99,0.15,0,6,,,
"Andre Williams","RB","SD",2543565,1992-08-28,0,0,0,,58,0,0,2,,,
"Andrew Hawkins","WR","CLE",2508097,1986-03-10,0,0,0,,106,0,0,5,,,
"Andrew Luck","QB","IND",2533031,1989-09-12,0,0,0,,26,0,0,4,,,
"Andrew Turzilli","WR","DET",2553829,1991-10-13,0,0,0,,106,0,0,1,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,11.94,11.94,11.94,,15,0.234999999999999,0,5,20.2,3.4,6.26251780284702
"Andy Janovich","RB","DEN",2555432,1993-05-23,0,0,0,,58,0,0,0,84.5,9.5,6.87499485816449
"Anquan Boldin","WR","DET",2505587,1980-10-03,0,0,0,,106,0,0,13,,,
"Anthony Dable","WR","FA",2555573,1988-09-25,0,0,0,,106,0,0,0,,,
"Anthony Fasano","TE","TEN",2495835,1984-04-20,2.5125,2.5125,2.5125,,30,0.0499999999999998,0,10,,,
"Anthony Sherman","RB","KC",2495340,1988-12-11,0,0,0,,58,0,0,5,91.4,9.6,6.92989953922348
"Antone Smith","RB","TB",89798,1985-09-17,0,0,0,,58,0,0,7,,,
"Antonio Andrews","RB","TEN",2550474,1992-08-17,0,0,0,,58,0,0,2,,,
"Antonio Brown","WR","PIT",2508061,1988-07-10,15.5,15.5,15.5,,1,1.44375,1,6,1.4,1.1,2.11613990560739
"Antonio Gates","TE","SD",2505299,1980-06-18,4.3,4.3,4.3,,23,0.399999999999999,0,13,,,
"Antwan Goodley","WR","GB",2553526,1991-09-06,0,0,0,,106,0,0,1,,,
"Arrelious Benn","WR","JAC",497270,1988-09-08,0,0,0,,106,0,0,6,,,
"Asante Cleveland","TE","SD",2550454,1992-03-21,0,0,0,,47,0,0,2,,,
"Austin Davis","QB","FA",2533349,1989-06-02,0,0,0,,26,0,0,4,,,
"Austin Hooper","TE","ATL",2555415,1994-10-29,8.375,8.375,8.375,,9,1.325,0,0,18.3,3.2,3.65212289945647
"Austin Johnson","RB","FA",2534437,1989-06-16,0,0,0,,58,0,0,3,,,
"Austin Seferian-Jenkins","TE","NYJ",2543683,1992-09-29,0,0,0,,47,0,0,2,11.7,2.5,3.32029648651576
"B.J. Daniels","WR","FA",2541429,1989-10-24,0,0,0,,106,0,0,3,,,
"Bears","DST","CHI",100005,,6.6,6.6,6.6,,15,0.225,0,46,19.2,4.5,6.83413387288904
"Beau Sandland","TE","FA",2555487,1993-02-23,0,0,0,,47,0,0,0,,,
"Ben Braunecker","TE","CHI",2556478,1994-02-07,0,0,0,,47,0,0,0,,,
"Ben Koyack","TE","JAC",2552396,1993-04-09,0,0,0,,47,0,0,1,81,11,7.34961721508152
"Ben Roethlisberger","QB","PIT",2506109,1982-03-02,14.41,14.41,14.41,,12,0.41,0,12,11.1,3.5,6.45551415487459
"Bengals","DST","CIN",100006,,6.5,6.5,6.5,,16,0.425,0,46,4.6,2.6,3.28352754537177
"Benjamin Watson","TE","BAL",2506122,1980-12-18,5.55,5.55,5.55,,17,0.4875,0,12,24.3,2.3,3.22548893996127
"Bennie Fowler","WR","DEN",2550198,1991-06-10,2.25,2.25,2.25,,93,0.71375,0,2,90.4,7.7,5.41366845616287
"Benny Cunningham","RB","LAR",2541544,1990-07-07,2.645,2.645,2.645,,49,0.0612499999999998,0,3,,,
"Bernard Pierce","RB","DEN",2533545,1991-05-10,0,0,0,,58,0,0,4,,,
"Bilal Powell","RB","NYJ",2495328,1988-10-27,0,0,0,,58,0,0,5,39.7,2.8,3.19638122721219
"Bills","DST","BUF",100003,,4.8,4.8,4.8,,25,0.475,0,46,9.7,2.6,3.28352754537177
"Bishop Sankey","RB","MIN",2543682,1992-09-15,0,0,0,,58,0,0,2,,,
"Blaine Gabbert","QB","SF",2495441,1989-10-15,7.47,7.47,7.47,,25,7.47,0,5,,,
"Blair Walsh","K","FA",2532968,1990-01-08,8.4,8.4,8.4,,8,0.0500000000000007,0,4,,,
"Blake Annen","TE","FA",2550278,1991-05-28,0,0,0,,47,0,0,2,,,
"Blake Bortles","QB","JAC",2543477,1991-12-16,10.66,10.66,10.66,,19,0.375000000000002,0,2,24.3,2.4,4.33255428257132
"Bralon Addison","RB","CHI",2556457,1993-10-12,0,0,0,,58,0,0,0,,,
"Branden Oliver","RB","SD",2550658,1991-05-07,0,0,0,,58,0,0,2,,,
"Brandin Cooks","WR","NO",2543498,1993-09-25,13.145,13.145,13.145,,5,0.705000000000002,0,2,,,
"Brandon Allen","QB","JAC",2555365,1992-09-05,0,0,0,,26,0,0,0,,,
"Brandon Bolden","RB","NE",2532797,1990-01-26,0,0,0,,58,0,0,4,,,
"Brandon Coleman","WR","NO",2550328,1992-06-22,5.9625,5.9625,5.9625,,53,0.0562499999999995,0,2,80.1,8.2,5.66348122514435
"Brandon Doughty","QB","MIA",2555302,1991-10-06,0,0,0,,26,0,0,0,,,
"Brandon LaFell","WR","CIN",497302,1986-11-04,5.825,5.825,5.825,,57,0.0499999999999998,0,6,61,5,4.0646795036629
"Brandon Marshall","WR","NYJ",2495893,1984-03-23,0,0,0,,106,0,0,10,,,
"Brandon McManus","K","DEN",2541556,1991-07-25,7.9,7.9,7.9,,12,0.350000000000001,0,2,25.2,4.6,6.73965169194542
"Brandon Myers","TE","TB",89766,1985-09-04,0,0,0,,47,0,0,7,,,
"Brandon Tate","WR","BUF",81306,1987-10-05,0.6,0.6,0.6,,101,0.25,0,7,123.4,9.3,6.2130693169036
"Brandon Weeden","QB","HOU",2532970,1983-10-14,0,0,0,,26,0,0,4,,,
"Brandon Williams","TE","SEA",2539645,1987-10-12,0,0,0,,47,0,0,4,,,
"Braxton Miller","WR","HOU",2555348,1992-11-30,1.7125,1.7125,1.7125,,94,0.37,0,0,90.3,11.9,7.51209571560728
"Brent Celek","TE","PHI",2507218,1985-01-25,1.1125,1.1125,1.1125,,40,0.0875000000000001,0,9,56.7,10.4,7.06519457541805
"Brenton Bersin","WR","CAR",2535966,1990-05-09,0,0,0,,106,0,0,3,118.7,4.3,3.71494162708884
"Breshad Perriman","WR","BAL",2552597,1993-09-10,0,0,0,,106,0,0,1,117.5,14.6,8.86108466810725
"Brett Hundley","QB","GB",2552588,1993-06-15,10.31,10.31,10.31,,20,0.445,0,1,23.2,2.5,4.52555063459889
"Brian Hoyer","QB","CHI",81294,1985-10-31,0,0,0,,26,0,0,7,,,
"Brian Parker","TE","FA",2553840,1992-05-30,0,0,0,,47,0,0,1,,,
"Brian Quick","WR","LAR",2532933,1989-06-05,0,0,0,,106,0,0,4,,,
