"","Player","Points","FD_Salary"
"11","Wilson, Russell","32.28","$8,500"
"12","Manning, Eli","27.28","$7,500"
"13","Bortles, Blake","25.7","$7,700"
"14","Fitzpatrick, Ryan","24.82","$7,800"
"15","Newton, Cam","23","$9,200"
"16","Mariota, Marcus","22.86","$7,500"
"17","Cousins, Kirk","22.3","$7,000"
"18","Palmer, Carson","20.7","$8,300"
"19","Brees, Drew","20.48","$7,900"
"20","Rodgers, Aaron","19.42","$8,900"
"21","Cutler, Jay","19.1","$6,700"
"22","Taylor, Tyrod","19.02","$7,500"
"23","Brady, Tom","18.04","$9,300"
"24","McCarron, A.J.","18","$5,000"
"25","Stafford, Matthew","17.3","$7,500"
"26","Tannehill, Ryan","15.84","$6,900"
"27","Bridgewater, Teddy","15.7","$6,000"
"28","Manziel, Johnny","15.3","$6,400"
"29","Smith, Alex","14.64","$6,800"
"30","Winston, Jameis","13.68","$7,800"
"31","Gabbert, Blaine","13.66","$6,400"
"32","Osweiler, Brock","13.32","$6,900"
"33","Bradford, Sam","13.18","$6,300"
"34","Carr, Derek","13","$7,200"
"35","Roethlisberger, Ben","10.88","$8,300"
"36","Rivers, Philip","9.92","$7,600"
"37","Clausen, Jimmy","9.76","$5,000"
"38","Hasselbeck, Matt","9.08","$6,600"
"39","Ryan, Matt","5.86","$7,100"
"40","Cassel, Matt","4.16","$6,200"
"41","Keenum, Case","4.16","$5,900"
"42","Hoyer, Brian","4.1","$7,000"
"43","Dalton, Andy","1.36","$8,200"
"44","Anderson, Derek","1.24","$5,000"
"45","Yates, T.J.","0.16","$6,000"
"46","Jackson, Tarvaris","0.06","$5,000"
"47","Manuel, E.J.","0","$5,000"
"48","Sanchez, Mark","0","$5,800"
"49","Webb, Joe","0","$5,000"
"50","Jones, Landry","-0.1","$6,000"
"51","Tolzien, Scott","-0.3","$5,000"
"52","Whitehurst, Charlie","-0.48","$5,000"
"53","Renfree, Sean","-0.56","$5,000"
"56","Crowell, Isaiah","27.9","$5,200"
"57","Gurley, Todd","27.2","$7,900"
"58","Starks, James","24.3","$5,600"
"59","Williams, DeAngelo","22.1","$7,300"
"60","Lacy, Eddie","21.3","$6,200"
"61","Miller, Lamar","20.9","$6,600"
"62","Powell, Bilal","16.7","$4,800"
"63","Hightower, Tim","16","$4,500"
"64","Stewart, Jonathan","15.4","$7,200"
"65","Robinson, Denard","15.2","$4,800"
"66","Martin, Doug","15.1","$8,000"
"67","Johnson, David","14.8","$6,500"
"68","Peterson, Adrian","13.1","$8,200"
"69","McCoy, LeSean","12.9","$7,900"
"70","White, James","12","$6,300"
"71","Forte, Matt","11.8","$7,800"
"72","Sproles, Darren","11.5","$5,100"
"73","Ivory, Chris","11.2","$7,100"
"74","Jennings, Rashad","11.2","$4,800"
"75","McFadden, Darren","11.1","$6,700"
"76","Turbin, Robert","11.1","$4,600"
"77","Sims, Charles","10.4","$4,900"
"78","Riddick, Theo","9.7","$5,500"
"79","Hillman, Ronnie","9.6","$6,400"
"80","Jones, Matt","9.6","$5,100"
"82","Whittaker, Fozzy","9.3","$4,500"
"83","McCluster, Dexter","9","$4,500"
"84","Johnson, Duke","8.9","$5,600"
"85","Bell, Joique","8.5","$5,000"
"86","Morris, Alfred","8.4","$5,500"
"87","Gordon, Melvin","8.3","$5,300"
"88","Bernard, Giovani","8.2","$5,700"
"89","Langford, Jeremy","7.9","$5,400"
"91","Andrews, Antonio","7.54","$5,300"
"92","Grimes, Jonathan","7.2","$4,600"
"93","Burkhead, Rex","7","$4,500"
"94","Yeldon, T.J.","6.8","$6,400"
"95","Gore, Frank","6.4","$6,100"
"96","Allen, Javorius","6.3","$7,000"
"97","Draughn, Shaun","6.1","$6,500"
"98","Polk, Chris","5.8","$5,200"
"99","Freeman, Devonta","5.7","$8,700"
"100","Abdullah, Ameer","5.4","$5,400"
"101","West, Charcandrick","5.4","$5,800"
"102","Blount, LeGarrette","5.3","$6,300"
"103","Mathews, Ryan","5.2","$4,700"
"104","Ware, Spencer","5.2","$5,800"
"105","Bolden, Brandon","5.1","$5,100"
"106","Thompson, Juwan","4.9","$4,600"
"107","Murray, DeMarco","4.7","$6,700"
"108","Cadet, Travaris","4.4","$4,500"
"109","Rawls, Thomas","4.4","$7,400"
"110","Asiata, Matt","4","$4,500"
"111","Tolbert, Mike","4","$4,600"
"112","Hill, Jeremy","3.4","$6,400"
"113","Herron, Dan","3.1","$4,500"
"115","Woodhead, Danny","2.8","$5,400"
"116","Jackson, Fred","2.8","$4,500"
"117","Murray, Latavius","2.7","$6,200"
"118","Cunningham, Benny","2.7","$4,500"
"119","DiMarco, Patrick","2.5","$4,500"
"120","Spiller, C.J.","2.4","$4,800"
"121","Ridley, Stevan","2.3","$4,500"
"123","Kuhn, John","2.1","$4,500"
"124","Darkwa, Orleans","2.1","$4,500"
"125","Williams, Damien","2.1","$4,600"
"126","Coleman, Derrick","1.9","$4,500"
"127","Mason, Tre","1.8","$4,600"
"130","West, Terrance","1.6","$4,600"
"131","Vereen, Shane","1.5","$5,100"
"132","Coleman, Tevin","1.5","$5,100"
"133","Ajayi, Jay","1.5","$4,600"
"134","Hewitt, Ryan","1.4","$4,500"
"135","McKinnon, Jerick","1.3","$4,500"
"136","Taylor, Stepfan","0.9","$4,500"
"137","Young, Darrel","0.7","$4,500"
"138","Bohanon, Tommy","0.7","$4,500"
"139","Davis, Knile","0.6","$4,500"
"140","Miller, Bruce","0.3","$4,500"
"141","Williams, Andre","0.3","$4,500"
"142","Reece, Marcel","0.2","$4,700"
"143","Williams, Kerwynn","0.2","$5,000"
"144","Jones, Taiwan","0.2","$4,500"
"145","Cobb, David","0.1","$4,500"
"147","Mostert, Raheem","0","$4,500"
"148","Carey, Ka'Deem","0","$4,600"
"149","Brown, Donald","0","$4,500"
"150","Murphy, Marcus","0","$4,500"
"151","Barner, Kenjon","0","$4,600"
"152","Gaskins, Kendall","0","$4,700"
"153","Rainey, Bobby","0","$4,500"
"154","Felton, Jerome","0","$4,500"
"155","Blue, Alfred","0","$5,300"
"156","Smith, Rod","0","$4,500"
"157","Dixon, Anthony","0","$4,500"
"158","Juszczyk, Kyle","0","$4,500"
"159","Olawale, Jamize","0","$4,500"
"163","Beckham Jr., Odell","32.1","$9,300"
"164","Baldwin, Doug","29.2","$6,800"
"165","Ginn Jr., Ted","25.5","$6,000"
"166","Lockett, Tyler","25.4","$5,600"
"167","Tate, Golden","24","$6,400"
"168","Green, A.J.","22.2","$8,500"
"169","Marshall, Brandon","21.5","$8,200"
"170","Jeffery, Alshon","19.7","$7,500"
"171","Floyd, Michael","18.7","$6,100"
"172","Colston, Marques","18.6","$5,100"
"173","Hurns, Allen","18","$6,600"
"174","Decker, Eric","16.9","$7,300"
"175","Watkins, Sammy","16.7","$7,200"
"176","Wilson, Albert","16.7","$4,800"
"177","Brown, John","15.8","$6,300"
"178","Snead, Willie","15.7","$5,700"
"179","Landry, Jarvis","15.4","$7,100"
