"","Player","Points","FD_Salary"
"11","Roethlisberger, Ben","30.66","$8,400"
"12","Taylor, Tyrod","28.98","$6,300"
"13","Newton, Cam","28.4","$7,700"
"14","Brady, Tom","28.24","$8,300"
"15","Carr, Derek","27.34","$6,100"
"16","Kaepernick, Colin","26.5","$7,800"
"17","Tannehill, Ryan","24.06","$8,000"
"18","Wilson, Russell","23.04","$8,500"
"19","Flacco, Joe","22.56","$8,100"
"20","Rodgers, Aaron","22.26","$9,300"
"21","Palmer, Carson","22.2","$7,800"
"22","Bortles, Blake","21.62","$6,100"
"23","Dalton, Andy","21.56","$6,900"
"24","Manning, Peyton","21.24","$8,200"
"25","Stafford, Matthew","20.44","$7,700"
"26","Manning, Eli","19.98","$8,000"
"27","Mallett, Ryan","19.36","$6,500"
"28","Winston, Jameis","18.58","$6,600"
"29","Ryan, Matt","18.42","$8,700"
"30","Bridgewater, Teddy","18.22","$7,000"
"31","Fitzpatrick, Ryan","17.36","$6,700"
"32","Mariota, Marcus","16.18","$7,400"
"33","Rivers, Philip","15.14","$8,200"
"34","Manziel, Johnny","14.98","$6,500"
"35","Brees, Drew","13.1","$8,900"
"36","Cousins, Kirk","12.12","$5,700"
"37","Luck, Andrew","11.4","$8,900"
"38","Cutler, Jay","10.2","$7,200"
"39","Foles, Nick","10.1","$6,500"
"40","Bradford, Sam","9.86","$7,500"
"41","Weeden, Brandon","7.62","$5,500"
"42","Smith, Alex","7.14","$6,800"
"43","Romo, Tony","7","$8,500"
"44","Clausen, Jimmy","3.34","$5,300"
"45","Orlovsky, Dan","0","$5,200"
"46","McCown, Luke","0","$5,200"
"47","Webb, Joe","0","$4,800"
"48","Vick, Michael","-0.3","$6,000"
"51","Williams, DeAngelo","29.2","$7,400"
"52","Jones, Matt","26.1","$5,300"
"53","Lewis, Dion","20.8","$5,200"
"54","Peterson, Adrian","18.2","$9,000"
"55","Johnson, David","17","$6,600"
"56","Charles, Jamaal","16.7","$8,800"
"57","Murray, Latavius","16.2","$6,800"
"58","Bernard, Giovani","15.4","$7,000"
"59","McCluster, Dexter","14.4","$5,000"
"60","Freeman, Devonta","13.9","$6,300"
"61","Vereen, Shane","13.5","$6,200"
"62","Woodhead, Danny","13.4","$6,200"
"63","Crowell, Isaiah","13.2","$5,800"
"64","McCoy, LeSean","13.1","$8,100"
"65","Forte, Matt","12.5","$8,900"
"66","Taliaferro, Lorenzo","12.1","$5,300"
"67","Ingram, Mark","11.3","$8,000"
"68","Williams, Karlos","10.7","$4,700"
"69","Starks, James","10.6","$5,200"
"70","Gordon, Melvin","10.3","$6,500"
"71","Forsett, Justin","10","$7,800"
