"","Player","Points","FD_Salary"
"72","Yeldon, T.J.","9.8","$6,500"
"73","Williams, Damien","9.5","$5,300"
"74","Coleman, Tevin","9.2","$6,500"
"75","Martin, Doug","8.8","$6,700"
"76","Morris, Alfred","8.2","$7,300"
"77","Langford, Jeremy","8.1","$4,500"
"78","Hyde, Carlos","8.1","$7,000"
"79","Murray, DeMarco","8","$8,300"
"80","Lynch, Marshawn","7.7","$8,500"
"81","Grimes, Jonathan","7.7","$4,500"
"82","Powell, Bilal","7.4","$5,200"
"83","Johnson, Chris","7.2","$5,700"
"84","Ivory, Chris","7","$6,900"
"85","Randle, Joseph","7","$6,700"
"86","Davis, Knile","6.9","$5,200"
"87","Dunbar, Lance","6.8","$4,800"
"88","Miller, Lamar","6.7","$7,300"
"89","Sims, Charles","6.7","$6,000"
"90","Jackson, Fred","6.6","$6,000"
"91","Stewart, Jonathan","6.4","$6,800"
"92","Robinson, Josh","6.4","$4,500"
"93","McFadden, Darren","6.2","$6,400"
"94","Robinson, Khiry","6.2","$4,900"
"97","Polk, Chris","5.7","$4,700"
"98","Riddick, Theo","5.1","$4,500"
"99","Cunningham, Benny","4.7","$5,800"
"100","Gore, Frank","4.6","$7,000"
"101","Tolbert, Mike","4.5","$4,800"
"102","Williams, Andre","4.3","$5,300"
"103","Johnson, Duke","4.3","$5,500"
"104","Sankey, Bishop","4.2","$6,500"
"105","Mason, Tre","4","$7,200"
"106","Sproles, Darren","3.9","$5,600"
"107","Anderson, C.J.","3.4","$8,000"
"108","Hillman, Ronnie","3.4","$5,100"
"109","Jennings, Rashad","3.4","$6,400"
"110","Spiller, C.J.","3.1","$6,100"
"111","Davis, Mike","2.8","$4,500"
"112","Bell, Joique","2.8","$6,100"
"114","DiMarco, Patrick","2.4","$4,500"
"115","Abdullah, Ameer","2.3","$6,400"
"116","Reece, Marcel","2.1","$4,800"
"118","Juszczyk, Kyle","1.6","$4,500"
"119","Thompson, Chris","1.5","$4,800"
"120","Blue, Alfred","1.5","$5,700"
"121","Ward, Terron","1.4","$4,500"
"122","Burkhead, Rex","1.3","$4,500"
"123","Rainey, Bobby","1.3","$4,800"
"124","Miller, Bruce","1.2","$4,500"
"125","Allen, Javorius","1.2","$5,200"
"126","Todman, Jordan","1.1","$4,700"
"127","Robinson, Denard","0.9","$5,400"
"128","Lacy, Eddie","0.9","$8,100"
"129","Rodgers, Jacquizz","0.8","$4,500"
"130","Bolden, Brandon","0.8","$5,100"
"131","Asiata, Matt","0.8","$4,900"
"132","Cadet, Travaris","0.7","$4,500"
"133","McKinnon, Jerick","0.6","$5,500"
"134","Hill, Jeremy","0.6","$8,400"
"135","Coleman, Derrick","0.5","$4,500"
"136","Blount, LeGarrette","0.4","$6,400"
"137","Pierce, Bernard","0.4","$4,500"
"139","Hayne, Jarryd","0.3","$4,500"
"141","Whittaker, Fozzy","0.3","$4,900"
"143","Oliver, Branden","0.2","$4,800"
"145","Mathews, Ryan","0","$5,700"
"146","Kuhn, John","0","$4,500"
"147","Darkwa, Orleans","0","$4,500"
"148","Young, Darrel","0","$4,500"
"149","Murphy, Marcus","0","$4,500"
"150","Taylor, Stepfan","0","$4,500"
"151","Stacy, Zac","0","$4,800"
"152","Bohanon, Tommy","0","$4,500"
"153","Archer, Dri","0","$5,100"
"154","Lane, Jorvorskie","0","$4,500"
"155","Pead, Isaiah","0","$4,900"
"156","Zenner, Zach","0","$4,500"
"157","Thompson, Juwan","0","$4,500"
"158","Draughn, Shaun","0","$4,500"
"159","Peerman, Cedric","0","$4,500"
"160","Dixon, Anthony","0","$4,500"
"161","Helu, Roy","0","$5,400"
"162","West, Terrance","-1","$5,300"
"165","Fitzgerald, Larry","33.2","$5,900"
"166","Brown, Antonio","32","$9,200"
"167","Benjamin, Travis","31","$5,000"
"168","Robinson, Allen","30.5","$5,700"
"169","Edelman, Julian","28.4","$7,600"
"170","Sanders, Emmanuel","24.7","$8,000"
"171","Beckham Jr., Odell","24.1","$8,700"
"172","Smith, Torrey","23","$5,900"
"173","Moncrief, Donte","21.7","$6,000"
"174","Crabtree, Michael","21.6","$5,500"
"175","Cooper, Amari","20.4","$6,700"
"176","Jones, Julio","20","$8,800"
"177","Smith, Steve","20","$6,700"
"178","Decker, Eric","19.7","$6,000"
"179","Marshall, Brandon","19.6","$7,400"
"180","Johnson, Calvin","19.3","$8,100"
"181","Baldwin, Doug","18.7","$6,000"
"182","Matthews, Jordan","17","$7,000"
"183","Hankerson, Leonard","16.7","$4,500"
"184","Williams, Terrance","16.4","$6,300"
"185","Heyward-Bey, Darrius","15.7","$4,500"
"186","Landry, Jarvis","15.6","$7,100"
"187","Thomas, Demaryius","15.6","$8,500"
"188","Cobb, Randall","15.6","$8,200"
"189","Watkins, Sammy","15","$6,600"
"190","Boldin, Anquan","15","$6,400"
"191","Matthews, Rishard","14.5","$4,900"
"192","Woods, Robert","13.5","$5,100"
"193","Brown, Corey","13.2","$4,500"
"194","Johnson, Steve","13","$5,700"
"195","Jackson, Vincent","12.9","$7,200"
"196","Floyd, Malcom","12.5","$5,100"
"197","Dobson, Aaron","12.2","$4,500"
"198","Ginn Jr., Ted","12.1","$4,700"
"199","Jones, Marvin","12.1","$4,500"
"200","Green, A.J.","12","$8,100"
"201","Britt, Kenny","11.4","$5,200"
"202","Garcon, Pierre","11.3","$5,400"
"203","Bellamy, Josh","11.3","$4,500"
"204","Tate, Golden","11","$6,700"
"206","Murphy, Louis","9.7","$4,800"
"207","Aiken, Kamar","9.4","$4,900"
"208","Jones, James","9.4","$5,400"
"209","Brown, Jaron","9","$4,500"
"210","Colston, Marques","8.9","$5,300"
"211","Hurns, Allen","8.8","$5,000"
"212","Cooks, Brandin","8.3","$7,400"
"213","Hopkins, DeAndre","7.8","$8,100"
"214","Green-Beckham, Dorial","7.8","$4,900"
"215","Washington, Nate","7.8","$4,900"
"217","Wheaton, Markus","7.7","$5,100"
"218","Royal, Eddie","7.6","$4,800"
"219","Harvin, Percy","7.4","$5,700"
"220","Maclin, Jeremy","7.2","$7,100"
"221","Brown, John","7","$6,200"
"222","Holmes, Andre","6.5","$5,000"
"223","Hilton, T.Y.","6.5","$7,600"
"224","Shorts, Cecil","6.4","$5,200"
"225","Grant, Ryan","6","$4,500"
"226","Hawkins, Andrew","5.8","$4,500"
"227","Adams, Davante","5.8","$6,400"
"228","Montgomery, Ty","5.7","$4,700"
"229","Wallace, Mike","5.3","$6,200"
"230","Wright, Jarius","5.1","$5,100"
"232","Austin, Tavon","5.1","$4,900"
"233","Lee, Marqise","4.9","$4,600"
"234","Coleman, Brandon","4.8","$5,000"
"235","Agholor, Nelson","4.6","$5,700"
"236","Patton, Quinton","4.5","$4,500"
"237","Hunter, Justin","4.4","$4,500"
"238","Johnson, Andre","4.2","$6,800"
"239","Amendola, Danny","3.7","$4,600"
"240","Beasley, Cole","3.4","$5,700"
"241","Parker, Preston","3.2","$4,500"
"242","Enunwa, Quincy","3.2","$4,500"
"243","Dorsett, Phillip","3","$5,200"
"244","Huff, Josh","3","$4,500"
"245","Norwood, Jordan","2.9","$4,500"
"247","Lockett, Tyler","2.7","$5,000"
"248","Wright, Kendall","2.7","$6,100"
"250","Johnson, Charles","2.5","$5,400"
"251","Street, Devin","2.3","$4,500"
"252","Brown, Marlon","2.2","$4,500"
"253","Sanu, Mohamed","2","$5,000"
"254","Funchess, Devin","2","$4,900"
"255","Matthews, Chris","1.8","$4,500"
"256","Stills, Kenny","1.8","$5,200"
"257","Greene, Rashad","1.7","$4,700"
"259","Cotchery, Jerricho","1.6","$5,000"
"260","Hogan, Chris","1.6","$4,500"
"261","Wilson, Marquess","1.5","$4,500"
"262","Givens, Chris","1.2","$4,500"
"263","Crowder, Jamison","1.2","$4,500"
"264","Caldwell, Andre","1.1","$4,500"
"265","Davis, Geremy","1","$4,500"
"266","Thomas, De'Anthony","1","$4,500"
"267","Randle, Rueben","1","$5,400"
"268","Moore, Lance","0.9","$4,500"
"269","Douglas, Harry","0.8","$4,800"
"270","Parker, DeVante","0.8","$5,200"
"271","Allen, Keenan","0.6","$8,200"
"272","Bailey, Stedman","0.5","$4,800"
"273","Roberts, Andre","0.5","$4,500"
"274","Gabriel, Taylor","0.2","$4,500"
"275","Mariani, Marc","0","$4,500"
"276","Butler, Brice","0","$4,500"
"277","Cooper, Riley","0","$4,700"
"278","Morgan, Joseph","0","$4,500"
"279","Floyd, Michael","0","$5,600"
"280","Evans, Mike","0","$8,100"
"281","White, Roddy","0","$7,400"
"282","Wilson, Albert","0","$4,500"
"283","Avant, Jason","0","$4,500"
"284","Norwood, Kevin","0","$4,500"
"285","Weems, Eric","0","$4,500"
"286","Lockette, Ricardo","0","$4,500"
"287","Kearse, Jermaine","0","$5,400"
"288","Patterson, Cordarrelle","0","$4,700"
"289","Whalen, Griff","0","$4,500"
"290","Conley, Chris","0","$4,500"
"291","Tate, Brandon","0","$4,500"
"292","Fuller, Corey","0","$4,500"
"293","Latimer, Cody","0","$4,500"
"294","Janis, Jeff","0","$4,500"
"295","Kerley, Jeremy","0","$4,500"
"296","Hartline, Brian","0","$4,500"
"297","Owusu, Chris","0","$4,700"
"298","Campanaro, Michael","0","$4,500"
"299","Inman, Dontrelle","0","$4,500"
"300","Slater, Matthew","0","$4,500"
"301","Bowe, Dwayne","0","$5,200"
"302","Thielen, Adam","0","$4,500"
"303","Austin, Miles","0","$4,800"
"304","Jennings, Greg","0","$4,700"
"305","Shepard, Russell","0","$4,500"
"306","Harris, Dwayne","0","$4,500"
"307","Nelson, J.J.","-2","$4,500"
"310","Gillmore, Crockett","23.3","$4,500"
"311","Gronkowski, Rob","20.8","$8,300"
"312","Fasano, Anthony","16.9","$4,600"
"313","Eifert, Tyler","12.9","$5,900"
"314","Ebron, Eric","12.8","$4,800"
"315","Rodgers, Richard","11.8","$4,700"
"316","Rudolph, Kyle","11.5","$5,100"
"317","Reed, Jordan","11.2","$5,000"
"318","Donnell, Larry","10.8","$5,300"
"319","Miller, Heath","10.5","$5,400"
"320","Olsen, Greg","10","$6,000"
"321","Tamme, Jacob","9.7","$4,700"
"322","Clay, Charles","9.4","$4,800"
"323","Witten, Jason","9.1","$6,000"
"325","Davis, Vernon","8.7","$5,100"
"326","Green, Virgil","8.2","$4,500"
"327","Kelce, Travis","7.8","$6,600"
"328","Cameron, Jordan","7.7","$5,500"
"329","Green, Ladarius","7.2","$5,600"
"330","Graham, Garrett","7.2","$4,600"
"331","Cook, Jared","7.2","$5,200"
"332","Bennett, Martellus","6.8","$6,100"
"333","O'Shaughnessy, James","6.4","$4,500"
"334","Coffman, Chase","6.2","$4,500"
"335","Willson, Luke","4.6","$4,500"
"336","Seferian-Jenkins, Austin","3.9","$4,500"
"337","Chandler, Scott","3.8","$4,900"
"338","Daniels, Owen","3.4","$5,000"
"339","Ertz, Zach","3.2","$5,200"
"340","Rivera, Mychal","3","$4,900"
"342","Fiedorowicz, C.J.","2.4","$4,500"
"343","Watson, Ben","2.2","$4,500"
"344","Barnidge, Gary","2.2","$4,500"
"345","Celek, Garrett","2","$4,500"
"347","Kendricks, Lance","2","$4,600"
"348","Stevens, Craig","1.8","$4,500"
"349","Graham, Jimmy","1.6","$7,100"
"350","Bell, Blake","1.6","$4,500"
"351","Williams, Maxx","1.3","$4,600"
"353","Gresham, Jermaine","1","$5,300"
"354","Walford, Clive","0.9","$4,500"
"357","Hill, Josh","0.7","$5,000"
"358","Escobar, Gavin","0.6","$4,500"
"360","Helfet, Cooper","0","$4,500"
"361","Burton, Trey","0","$4,500"
"362","Casey, James","0","$4,500"
"363","Doyle, Jack","0","$4,500"
"364","Ellison, Rhett","0","$4,500"
"365","Fells, Darren","0","$4,900"
"366","Davis, Kellen","0","$4,500"
"367","Niklas, Troy","0","$4,500"
"368","Spaeth, Matt","0","$4,500"
"369","Wright, Tim","0","$4,500"
"370","Lewis, Marcedes","0","$4,700"
"371","Cumberland, Jeff","0","$4,700"
"372","Carrier, Derek","0","$4,500"
"373","Phillips, John","0","$4,500"
"374","Myers, Brandon","0","$4,500"
"375","Fleener, Coby","0","$4,900"
"376","Dickson, Ed","0","$4,500"
"377","Kroft, Tyler","0","$4,500"
"378","Allen, Dwayne","0","$5,200"
"379","Hoomanawanui, Michael","0","$4,600"
"380","Celek, Brent","0","$4,500"
"381","Housler, Rob","0","$4,700"
"382","Boyle, Nick","0","$4,500"
"383","Toilolo, Levine","0","$4,500"
"384","Stocker, Luke","0","$4,500"
"385","Harkey, Cory","0","$4,500"
"386","Gray, Marqueis","0","$4,500"
"387","Dray, Jim","0","$4,500"
"388","Williams, Brandon","0","$4,500"
"389","McDonald, Vance","0","$4,500"
"390","Quarless, Andrew","0","$5,000"
"391","Johnson, David","0","$4,500"
"392","Harbor, Clay","0","$4,500"
"395","Gostkowski, Stephen","19","$5,200"
"396","Crosby, Mason","16","$5,100"
"397","Brindza, Kyle","16","$4,500"
"398","Janikowski, Sebastian","15","$4,700"
"399","Tucker, Justin","15","$5,200"
"400","Gould, Robbie","14","$4,800"
"401","Myers, Jason","13","$4,500"
"402","Franks, Andrew","10","$4,500"
"403","McManus, Brandon","9","$4,900"
"404","Folk, Nick","9","$4,600"
"405","Brown, Josh","9","$4,500"
"406","Bailey, Dan","8","$5,000"
"407","Lambo, Josh","8","$4,500"
"408","Walsh, Blair","8","$4,700"
"409","Bryant, Matt","7","$5,000"
"410","Hauschka, Steven","7","$5,100"
"412","Catanzaro, Chandler","6","$4,700"
"413","Santos, Cairo","6","$4,800"
"414","Gano, Graham","6","$4,600"
"415","Nugent, Mike","6","$4,800"
"416","Zuerlein, Greg","6","$4,800"
"417","Bullock, Randy","6","$4,800"
"418","Dawson, Phil","5","$5,000"
"419","Parkey, Cody","5","$5,000"
"420","Coons, Travis","4","$4,500"
"421","Prater, Matt","4","$4,700"
"422","Scobee, Josh","3","$4,600"
"423","Succop, Ryan","2","$4,600"
"424","Carpenter, Dan","2","$4,800"
"425","Vinatieri, Adam","1","$5,000"
"426","Hocker, Zach","1","$4,500"
"429","Denver Defense","21","$4,200"
"430","Cleveland Defense","20","$4,600"
"431","Arizona Defense","18","$4,600"
"432","New York J Defense","14","$4,300"
"433","Tampa Bay Defense","13","$4,000"
"434","Dallas Defense","13","$4,200"
"435","New England Defense","13","$4,300"
"436","Cincinnati Defense","11","$4,600"
"437","Kansas City Defense","11","$4,400"
"438","Philadelphia Defense","8","$4,300"
"439","Pittsburgh Defense","8","$4,200"
"440","Minnesota Defense","8","$4,400"
"441","New Orleans Defense","7","$4,500"
"442","Green Bay Defense","7","$4,500"
"443","Houston Defense","6","$4,600"
"444","Atlanta Defense","5","$4,100"
"445","Washington Defense","5","$4,100"
"446","Carolina Defense","4","$4,700"
"447","Seattle Defense","4","$4,700"
"448","St. Louis Defense","4","$4,900"
"449","San Diego Defense","4","$4,300"
"450","Indianapolis Defense","4","$4,500"
"451","Oakland Defense","3","$4,200"
"452","Jacksonville Defense","3","$4,100"
"453","Detroit Defense","3","$4,300"
"454","Buffalo Defense","2","$4,400"
"455","New York G Defense","2","$4,100"
"456","Tennessee Defense","2","$4,600"
"457","Chicago Defense","0","$4,000"
"458","Miami Defense","0","$5,100"
"459","Baltimore Defense","-1","$5,000"
"460","San Francisco Defense","-4","$4,300"
