"","Player","Points","FD_Salary"
"11","Wilson, Russell","31.92","$8,400"
"12","Roethlisberger, Ben","28.96","$7,700"
"13","Cousins, Kirk","25.98","$8,200"
"14","Brady, Tom","25.56","$8,600"
"15","Brees, Drew","22.6","$8,100"
"16","Gabbert, Blaine","21.58","$6,000"
"17","Wentz, Carson","20.02","$8,700"
"18","Fitzpatrick, Ryan","19.9","$6,400"
"19","Mariota, Marcus","18.74","$7,700"
"20","Dalton, Andy","18.56","$6,800"
"21","Stafford, Matthew","18.26","$8,000"
"22","Taylor, Tyrod","18.12","$7,600"
"23","Rivers, Philip","18.04","$7,400"
"24","Keenum, Case","17.2","$7,300"
"25","Ryan, Matt","17","$7,400"
"26","Osweiler, Brock","15.56","$6,200"
"27","Moore, Matt","15.28","$6,000"
"28","Savage, Tom","14.5","$6,000"
"29","Carr, Derek","14.48","$8,000"
"30","Trubisky, Mitchell","14.46","$6,400"
"31","Flacco, Joe","10.22","$6,600"
"32","Smith, Alex","9.9","$7,900"
"33","Goff, Jared","9.8","$7,900"
"34","Manning, Eli","8.7","$6,500"
"35","Bortles, Blake","8.56","$7,500"
"36","Kizer, DeShone","7.36","$6,200"
"37","Hundley, Brett","6.46","$6,300"
"38","Cutler, Jay","4.42","$6,600"
"39","Prescott, Dak","1.8","$8,500"
"40","Clemens, Kellen","1.02","$6,000"
"41","Hoyer, Brian","0","$6,000"
"42","Rush, Cooper","0","$6,000"
"43","Webb, Joe","0","$6,000"
"44","Jones, Landry","-0.3","$6,000"
"45","Peterman, Nathan","-1.96","$6,000"
"48","McCoy, LeSean","25.1","$8,000"
"49","Ingram, Mark","23","$8,200"
"50","Kamara, Alvin","22.6","$7,500"
"51","Murray, Latavius","22.1","$6,600"
"52","Foreman, D'Onta","21.5","$5,200"
"53","Perine, Samaje","19.1","$5,400"
"54","Howard, Jordan","18.5","$7,400"
"55","Lewis, Dion","16.8","$5,700"
"56","Miller, Lamar","16.3","$6,500"
"57","Darkwa, Orleans","16","$5,900"
"58","Collins, Alex","15.1","$5,500"
"59","Bell, Le'Veon","14.8","$9,500"
"60","Johnson, Duke","14.6","$5,600"
"61","Gordon, Melvin","14","$7,800"
"62","Cohen, Tarik","13.9","$5,200"
"63","Gurley, Todd","13.1","$8,700"
"64","Clement, Corey","13","$5,400"
"65","Fournette, Leonard","12.8","$9,300"
"66","Ekeler, Austin","12.8","$5,200"
