"","Player","Points","FD_Salary"
"67","Coleman, Tevin","12.3","$5,900"
"68","Booker, Devontae","12.3","$5,400"
"69","Williams, Jamaal","11.5","$5,600"
"70","Williams, Damien","10.7","$5,200"
"71","Anderson, C.J.","10.6","$6,000"
"72","Ajayi, Jay","10.6","$6,900"
"73","Abdullah, Ameer","10.5","$6,200"
"74","Thompson, Chris","9.8","$6,800"
"75","Hunt, Kareem","9.2","$8,600"
"76","Barner, Kenjon","9.1","$4,500"
"77","Morris, Alfred","9.1","$6,000"
"78","Cadet, Travaris","8.6","$4,500"
"79","McKinnon, Jerick","8.5","$6,400"
"80","Lynch, Marshawn","8.2","$5,900"
"81","McKissic, J.D.","7.8","$4,900"
"82","Murray, DeMarco","7.2","$6,300"
"84","Mixon, Joe","5.9","$5,900"
"85","Blount, LeGarrette","5.7","$5,200"
"86","Burkhead, Rex","5.7","$5,700"
"87","Martin, Doug","5.4","$6,100"
"88","Woodhead, Danny","4.8","$5,300"
"89","Ward, Terron","4.7","$4,500"
"90","Riddick, Theo","4.4","$5,400"
"91","West, Charcandrick","4.4","$4,900"
"92","Peterson, Adrian","4.4","$6,600"
"93","Sims, Charles","4.3","$4,800"
"94","Richard, Jalen","3.8","$4,700"
"95","Foster, D.J.","3.6","$4,500"
"96","Vereen, Shane","3.3","$4,700"
"97","Henry, Derrick","3.2","$5,200"
"98","Olawale, Jamize","3.2","$4,500"
"99","Washington, DeAndre","2.9","$5,000"
"100","Gallman, Wayne","2.7","$5,000"
"101","Yeldon, T.J.","2.5","$4,900"
"102","Cunningham, Benny","2.3","$4,700"
"103","Williams, Kerwynn","2.3","$4,700"
"104","Allen, Javorius","2.2","$5,800"
"105","Barber, Peyton","2.1","$4,500"
"106","Drake, Kenyan","1.9","$5,600"
"107","Crowell, Isaiah","1.8","$5,500"
"108","Watt, Derek","1.7","$4,500"
"109","Sherman, Anthony","1.6","$4,500"
"110","White, James","1.3","$5,100"
"111","Conner, James","1.2","$4,600"
"112","Smith, Rod","1.1","$5,200"
"113","Ripkowski, Aaron","1.1","$4,500"
"114","Dayes, Matthew","1","$4,500"
"115","Bernard, Giovani","0.9","$4,900"
"116","Ham, C.J.","0.8","$4,500"
"117","Kerridge, Joe","0.8","$4,500"
"118","Charles, Jamaal","0.7","$5,100"
"119","Ivory, Chris","0.6","$5,100"
"120","Rodgers, Jacquizz","0.3","$4,500"
"121","Bohanon, Tommy","0.3","$4,500"
"122","Hunt, Akeem","0.3","$4,500"
"124","Line, Zach","0.2","$4,500"
"125","Williams, Andre","0.2","$4,500"
"126","Lacy, Eddie","0.2","$5,300"
"127","Dunbar, Lance","0","$4,500"
"128","Develin, James","0","$4,500"
"129","Burton, Michael","0","$4,500"
"130","Grant, Corey","0","$4,500"
"131","Todman, Jordan","0","$4,500"
"132","Watson, Terrell","0","$4,500"
"133","Penny, Elijhaa","0","$4,500"
"134","Edmunds, Trey","0","$4,500"
"135","Perry, Senorise","0","$4,500"
"136","Bolden, Brandon","0","$4,500"
"137","Zenner, Zach","0","$4,800"
"138","Smith, Keith","0","$4,500"
"139","DiMarco, Patrick","0","$4,500"
"140","Coleman, Derrick","0","$4,500"
"141","Janovich, Andy","0","$4,500"
"142","Fowler, Jalston","0","$4,500"
"143","Fluellen, David","0","$4,500"
"144","Prosch, Jay","0","$4,500"
"145","Vitale, Dan","0","$4,500"
"146","Mays, Devante","-2.1","$4,500"
"149","Brown, Antonio","37.4","$9,000"
"150","Allen, Keenan","34.2","$7,100"
"151","Stills, Kenny","27.5","$5,100"
"152","Cooks, Brandin","23.9","$7,700"
"153","Thielen, Adam","21.3","$7,700"
"154","Matthews, Rishard","19.8","$6,000"
"155","Fitzgerald, Larry","19.6","$6,900"
"156","Jeffery, Alshon","16.7","$7,000"
"157","Amendola, Danny","16.6","$5,400"
"158","Adams, Davante","16.6","$6,700"
"159","Landry, Jarvis","16.5","$6,800"
"160","Jones, Marvin","16.5","$6,700"
"161","Hopkins, DeAndre","15.6","$7,700"
"162","Thomas, Demaryius","14.9","$6,700"
"163","Wallace, Mike","13.6","$5,700"
"164","Grant, Ryan","13.4","$5,100"
"165","Green, A.J.","13","$7,800"
"166","Woods, Robert","12.1","$6,900"
"167","Thomas, Michael","12.1","$8,600"
"168","Hill, Tyreek","11.9","$7,600"
"169","Evans, Mike","11.7","$7,800"
"170","Erickson, Alex","11.2","$4,500"
"171","Sanu, Mohamed","11.2","$5,700"
"172","Crowder, Jamison","11.1","$5,400"
"173","Baldwin, Doug","11","$8,100"
"174","Coleman, Corey","11","$5,400"
"175","Ginn Jr., Ted","10.5","$5,600"
"176","Cooper, Amari","10.3","$7,300"
"177","Smith, Torrey","10.3","$4,800"
"178","Bryant, Dez","10.3","$7,400"
"179","Crabtree, Michael","10.1","$7,500"
"180","Doctson, Josh","10.1","$5,200"
"181","Jackson, DeSean","9.8","$6,400"
"182","Ellington, Bruce","9.8","$4,600"
"183","Jones, Julio","9.6","$7,700"
"184","Jones, Zay","8.8","$4,500"
"185","Richardson, Paul","8.1","$5,900"
"186","Jones, T.J.","7.5","$4,700"
"187","Kupp, Cooper","7.4","$5,600"
"188","Lewis, Roger","7","$5,000"
"189","Lee, Marqise","7","$6,500"
"190","Smith-Schuster, JuJu","6.7","$6,700"
"191","Patterson, Cordarrelle","6.5","$4,500"
"192","King, Tavarres","6.3","$4,500"
"193","Williams, Mike","6.3","$4,700"
"194","Golladay, Kenny","6.2","$5,300"
"195","Inman, Dontrelle","5.8","$4,900"
"196","Lockett, Tyler","5.7","$5,500"
"197","Williams, Terrance","5.5","$4,900"
"198","Maclin, Jeremy","5.4","$6,000"
"199","Decker, Eric","5.2","$4,700"
"200","LaFell, Brandon","5.2","$5,300"
"201","Diggs, Stefon","5.2","$7,500"
"202","Watkins, Sammy","5.1","$6,000"
"203","Thompson, Deonte","5.1","$4,700"
"204","Westbrook, Dede","5","$4,500"
"205","Rudolph, Travis","4.9","$4,600"
"206","Cobb, Randall","4.9","$5,400"
"207","Godwin, Chris","4.8","$4,500"
"208","Tate, Golden","4.7","$7,600"
"209","Parker, DeVante","4.6","$6,200"
"210","Davis, Corey","4.2","$5,600"
"211","Hardy, Justin","4.2","$4,500"
"212","Roberts, Seth","4.1","$4,500"
"213","Bryant, Martavis","4","$5,300"
"214","Cole, Keelan","3.9","$4,500"
"215","Wright, Kendall","3.5","$4,800"
"216","Nelson, Jordy","3.4","$6,400"
"217","Brown, John","3.3","$5,700"
"218","Benjamin, Travis","3.3","$5,300"
"219","Butler, Brice","2.9","$4,600"
"220","Wright, Jarius","2.8","$4,800"
"221","Brown, Jaron","2.7","$5,200"
"222","Floyd, Michael","2.6","$4,500"
"223","Latimer, Cody","2.6","$4,500"
"224","Benjamin, Kelvin","2.5","$6,100"
"225","Sanders, Emmanuel","2.5","$6,300"
"226","McBride, Tre","2.4","$4,500"
"227","Miller, Braxton","2.4","$4,500"
"228","Fowler, Bennie","2.3","$4,500"
"229","Thomas, De'Anthony","2.1","$4,700"
"230","Humphries, Adam","2.1","$4,700"
"231","Louis, Ricardo","2","$4,600"
"232","Treadwell, Laquon","2","$4,900"
"233","Nelson, J.J.","1.9","$4,800"
"234","Brown, Noah","1.9","$4,500"
"235","Taylor, Jordan","1.9","$4,500"
"236","Gabriel, Taylor","1.7","$5,300"
"237","Beasley, Cole","1.7","$5,300"
"238","Thomas, Mike","1.7","$4,500"
"239","Snead, Willie","1.7","$5,000"
"240","Williams, Tyrell","1.6","$5,000"
"241","Raymond, Kalif","1.6","$4,500"
"242","Britt, Kenny","1.5","$4,800"
"243","Hollins, Mack","1.2","$4,500"
"244","Robinson, Demarcus","1.2","$4,900"
"245","Tate, Brandon","1.2","$4,600"
"246","Holmes, Andre","1.2","$4,500"
"247","Coleman, Brandon","1.1","$5,200"
"248","Boyd, Tyler","1","$4,500"
"249","Agholor, Nelson","0.3","$6,000"
"250","Thompson, Chris","0","$4,500"
"251","Martino, Freddie","0","$4,500"
"252","Heyward-Bey, Darrius","0","$4,500"
"253","Dorsett, Phillip","0","$4,900"
"254","Moore, Chris","0","$4,500"
"255","Golden, Brittan","0","$4,500"
"256","Malone, Josh","0","$4,500"
"257","Weems, Eric","0","$4,500"
"258","Cooper, Pharoh","0","$4,500"
"259","Wheaton, Markus","0","$4,500"
"260","Rogers, Eli","0","$4,500"
"261","Allison, Geronimo","0","$4,500"
"262","Mickens, Jaydon","0","$4,500"
"263","Higgins, Rashard","0","$4,600"
"264","Janis, Jeff","0","$4,500"
"265","Harris, Maurice","0","$4,700"
"266","Taylor, Taywan","0","$4,600"
"267","Lewis, Tommylee","0","$4,500"
"268","Johnson, Marcus","0","$4,500"
"269","Chesson, Jehu","0","$4,500"
"270","Campanaro, Michael","0","$4,500"
"271","Darboh, Amara","0","$4,500"
"272","Coates, Sammie","0","$4,500"
"273","Holton, Johnny","0","$4,500"
"274","Reynolds, Josh","0","$4,500"
"275","Core, Cody","0","$4,500"
"276","Austin, Tavon","0","$4,700"
"277","Bellamy, Josh","0","$4,500"
"278","Davis, Trevor","0","$4,500"
"279","Hall, Marvin","0","$4,500"
"280","Switzer, Ryan","0","$4,500"
"281","McEvoy, Tanner","0","$4,500"
"282","Roberts, Andre","-2","$4,500"
"283","Grant, Jakeem","-2","$4,500"
"286","Seals-Jones, Ricky","18.9","$4,500"
"287","Graham, Jimmy","17.3","$6,900"
"288","Kelce, Travis","13.9","$7,500"
"289","Howard, O.J.","12.7","$4,700"
"290","Walker, Delanie","12.2","$5,400"
"291","Shaheen, Adam","12.1","$4,900"
"292","Fleener, Coby","11.6","$4,700"
"293","James, Jesse","10.6","$4,600"
"294","Toilolo, Levine","10.1","$4,500"
"295","Lewis, Marcedes","9.6","$4,900"
"296","Rudolph, Kyle","8.3","$5,400"
"297","Davis, Vernon","8.2","$5,200"
"298","Kroft, Tyler","8.2","$5,300"
"299","Sprinkle, Jeremy","7.2","$4,500"
"300","Ebron, Eric","6.9","$5,400"
"301","Hill, Josh","6","$4,500"
"303","Gronkowski, Rob","5.1","$8,200"
"304","Thomas, Julius","5","$5,000"
"305","Cook, Jared","4.6","$5,600"
"306","Clay, Charles","4.2","$5,300"
"307","Watson, Ben","3.8","$4,900"
"308","Henry, Hunter","3.5","$5,200"
"309","Allen, Dwayne","3.4","$4,500"
"310","Celek, Brent","3.3","$4,500"
"311","Brown, Daniel","3.3","$4,500"
"312","Bennett, Martellus","3","$4,800"
"313","Fiedorowicz, C.J.","2.8","$4,600"
"314","Anderson, Stephen","2.7","$4,500"
"315","Paul, Niles","2.6","$4,500"
"316","Green, Virgil","2.3","$4,500"
"317","Burton, Trey","2","$4,500"
"318","Ertz, Zach","1.8","$8,000"
"319","Njoku, David","1.8","$4,500"
"320","O'Shaughnessy, James","1.7","$4,500"
"321","Brate, Cameron","1.7","$5,500"
"322","Travis, Ross","1.6","$4,500"
"323","Williams, Maxx","1.6","$4,500"
"324","McGrath, Sean","1.5","$4,500"
"325","Gresham, Jermaine","1.5","$4,500"
"326","Fells, Darren","1.4","$4,600"
"327","Engram, Evan","1.4","$7,400"
"328","Everett, Gerald","1.3","$4,500"
"329","O'Leary, Nick","1.3","$4,900"
"330","Ellison, Rhett","1.2","$4,500"
"331","Witten, Jason","1.2","$5,400"
"332","Adams, Jerell","1.1","$4,500"
"333","Higbee, Tyler","1","$4,500"
"334","Kendricks, Lance","1","$4,500"
"335","DeValve, Seth","1","$4,500"
"337","Walford, Clive","0.9","$4,500"
"338","Willson, Luke","0.9","$4,500"
"339","Hooper, Austin","0.9","$5,300"
"340","Rodgers, Richard","0.8","$4,900"
"341","Cumberland, Jeff","0.7","$4,500"
"342","Boyle, Nick","0.7","$4,500"
"343","Harris, Clark","0","$4,500"
"344","Lee, Khari","0","$4,500"
"345","Niklas, Troy","0","$4,500"
"346","Gates, Antonio","0","$4,600"
"347","Carter, Cethan","0","$4,500"
"348","Smith, Jonnu","0","$4,500"
"349","Supernaw, Phillip","0","$4,500"
"350","Swaim, Geoff","0","$4,500"
"351","Mayle, Vince","0","$4,500"
"352","Harris, Demetrius","0","$4,500"
"353","Uzomah, C.J.","0","$4,500"
"354","Roberts, Michael","0","$4,500"
"355","Grimble, Xavier","0","$4,500"
"356","Smith, Lee","0","$4,500"
"357","Fasano, Anthony","0","$4,500"
"358","Koyack, Ben","0","$4,500"
"359","Telfer, Randall","0","$4,500"
"360","Hoomanawanui, Michael","0","$4,500"
"361","Hewitt, Ryan","0","$4,500"
"362","Vannett, Nick","0","$4,500"
"363","Braunecker, Ben","0","$4,500"
"364","Hollister, Jacob","0","$4,500"
"365","Gray, Marqueis","0","$4,500"
"366","Hanna, James","0","$4,500"
"369","Gostkowski, Stephen","20","$5,100"
"370","Boswell, Chris","19","$4,700"
"371","Novak, Nick","18","$4,500"
"372","Lutz, Wil","17","$5,000"
"373","Walsh, Blair","12","$4,700"
"374","Murray, Patrick","12","$4,500"
"375","Bryant, Matt","11","$4,800"
"376","Nugent, Mike","11","$4,800"
"377","Prater, Matt","11","$5,000"
"378","Tucker, Justin","11","$4,900"
"379","Butker, Harrison","9","$5,100"
"380","Parkey, Cody","8","$4,500"
"381","Hauschka, Steven","8","$4,700"
"382","Lambo, Josh","7","$4,600"
"383","Rose, Nick","7","$4,700"
"384","Fairbairn, Ka'imi","7","$4,500"
"385","McManus, Brandon","6","$4,800"
"386","Forbath, Kai","6","$4,800"
"387","Rosas, Aldrick","6","$4,500"
"388","Succop, Ryan","6","$4,700"
"389","Barth, Connor","6","$4,500"
"390","Dawson, Phil","3","$4,600"
"391","Bullock, Randy","2","$4,500"
"392","Gonzalez, Zane","1","$4,500"
"393","Elliott, Jake","1","$5,100"
"394","Zuerlein, Greg","1","$5,300"
"395","Tavecchio, Giorgio","0","$4,700"
"396","Crosby, Mason","0","$4,500"
"399","Baltimore","26","$4,700"
"400","Jacksonville","25","$5,600"
"401","LA Chargers","25","$4,300"
"402","Philadelphia","22","$4,700"
"403","Tampa Bay","18","$4,600"
"404","Pittsburgh","16","$4,700"
"405","Atlanta","12","$4,200"
"406","New York G","11","$4,100"
"407","Cincinnati","10","$4,500"
"408","Detroit","9","$4,800"
"409","New England","9","$4,500"
"410","Cleveland","8","$4,000"
"411","Minnesota","8","$4,600"
"412","Houston","6","$4,600"
"413","Kansas City","6","$5,100"
"414","Denver","5","$4,800"
"415","Chicago","5","$4,400"
"416","Green Bay","5","$4,500"
"417","Arizona","4","$4,600"
"418","Washington","3","$4,000"
"419","Seattle","2","$5,000"
"420","New Orleans","1","$4,500"
"421","Miami","1","$4,400"
"422","Oakland","0","$4,100"
"423","LA Rams","0","$4,800"
"424","Dallas","-1","$4,300"
"425","Tennessee","-1","$4,300"
"426","Buffalo","-3","$4,500"
